observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI00005itkt,2769855,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"101,9",,"132,3",,7,
DI00005itkfi,2769853,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,96,,"111,1",,,
EM00020itkt,2769834,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,96,,"124,6",,5,
DI00005itknt,2769854,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"108,5",,"115,3",,,
EM00020itkfi,2769832,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"102,7",,"118,8",,,
EM00019itkt,2769876,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"96,5",,"125,3",,9,
RE00009itkt,2769861,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,"101,2",,"131,5",,1,
DI00016itknt,2769893,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"84,8",,"90,1",,,
DI00016itkfi,2769892,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"108,3",,"125,3",,,
Ornicaritknt,2769836,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"114,8",,122,,,
DI00004itkt,2769852,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"97,8",,"126,9",,4,
Oratorioitknt,2769845,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"111,2",,"118,2",,,
DI00016itkt,2769894,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"103,3",,"134,1",,9,
RE00008itknt,2769857,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"96,6",,"102,7",,,
DI00004itknt,2769851,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"108,9",,"115,7",,,
DI00004itkfi,2769850,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"92,1",,"106,6",,,
Ornicaritkt,2769837,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,treated,2001,146,,"99,4",,"129,1",,1,
CF00193itkfi,2769817,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"81,7",,"94,6",,,
Ornicaritkfi,2769835,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25609,https://doi.org/10.15454/ZUZBM9,ORNICAR,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"107,6",,"124,5",,,
EM00301itkt,2769870,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,treated,2001,151,,"90,7",,"117,7",,1,
DI00010itkt,2769891,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"107,1",,"139,1",,2,
DI00010itkfi,2769889,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"109,4",,"126,6",,,
CF00193itkt,2769819,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,"83,5",,"108,4",,1,
CF00193itknt,2769818,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"87,6",,"93,1",,,
EM00301itkfi,2769868,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"99,6",,"115,2",,,
DI00010itknt,2769890,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"112,2",,"119,2",,,
EM00015itkt,2769882,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,treated,2001,151,,90,,"116,9",,3,
CF00189itknt,2769842,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"115,2",,"122,4",,,
EM00004itkfi,2769826,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"104,1",,"120,5",,,
EM00302itkfi,2769862,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"101,4",,"117,3",,,
CF00189itkt,2769843,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"105,8",,"137,3",,9,
CF00189itkfi,2769841,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"105,6",,"122,2",,,
EM00302itkt,2769864,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,treated,2001,149,,"95,6",,"124,2",,5,
EM00004itkt,2769828,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,"100,5",,"130,5",,2,
CF00191itkfi,2769886,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"113,4",,"131,3",,,
EM00002itkfi,2769823,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"90,8",,"105,1",,,
EM00004itknt,2769827,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"115,5",,"122,7",,,
CF00191itkt,2769888,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,treated,2001,147,,110,,"142,9",,4,
CF00191itknt,2769887,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"111,2",,"118,1",,,
EM00002itkt,2769825,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2001,145,,"100,9",,131,,9,
EM00002itknt,2769824,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,119,,"126,5",,,
Oratorioitkfi,2769844,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"95,7",,"110,7",,,
EM00302itknt,2769863,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,,,"112,8",,"119,9",,,
Chargeritkfi,2769865,BTH_Le_Moulon_2001_SetA2,BTH_Le_Moulon_2001_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2001,,,"97,7",,113,,,
