observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE00108itknt,2770767,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,93,,1,,142,,"95,6",,1,,"85,4",
RE00119itknt,2770763,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48886,gnpis_pui:holding-921_taxon-4898_accession-48886,RE00119,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,90,,1,,134,,"97,7",,2,,"87,3",
CF01002itknt,2770755,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49326,gnpis_pui:holding-921_taxon-4898_accession-49326,CF01002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,91,,1,,141,,"98,5",,2,,88,
CF99351itknt,2770738,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,94,,1,,142,,"80,7",,1,,"72,1",
EM00040itknt,2770729,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49182,gnpis_pui:holding-921_taxon-4898_accession-49182,EM00040,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,82,,1,,140,,"99,3",,3,,"88,7",
CF00010itknt,2770749,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48350,https://doi.org/10.15454/YIXHGN,CF00010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,89,,2,,140,,96,,3,,"85,8",
RE00116itknt,2770765,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48651,gnpis_pui:holding-921_taxon-4898_accession-48651,RE00116,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,77,,1,,143,,"95,4",,1,,"85,2",
LM00005itknt,2770731,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49304,gnpis_pui:holding-921_taxon-4898_accession-49304,LM00005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,88,,2,,133,,"109,2",,2,,"97,5",
Soissonsitknt,2770764,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,88,,1,,134,,"83,5",,9,,"74,6",
RE00109itknt,2770739,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49703,gnpis_pui:holding-921_taxon-4898_accession-49703,RE00109,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,97,,1,,142,,"94,9",,1,,"84,8",
CF00064itknt,2770732,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,88,,2,,136,,"104,5",,1,,"93,3",
CF01003itknt,2770754,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49514,gnpis_pui:holding-921_taxon-4898_accession-49514,CF01003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,84,,1,,136,,"100,4",,1,,"89,7",
RE00102itknt,2770740,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49066,gnpis_pui:holding-921_taxon-4898_accession-49066,RE00102,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,92,,1,,142,,"96,2",,1,,"85,9",
Isengrainitknt,2770761,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,88,,1,,134,,97,,7,,"86,6",
CF00048itknt,2770730,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48524,gnpis_pui:holding-921_taxon-4898_accession-48524,CF00048,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,92,,1,,142,,"104,1",,1,,93,
Tremieitknt,2770756,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,87,,2,,133,,"117,9",,4,,"105,3",
RE99120itknt,2770760,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48532,gnpis_pui:holding-921_taxon-4898_accession-48532,RE99120,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,91,,2,,142,,96,,2,,"85,7",
CF00116itknt,2770744,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,84,,1,,141,,"110,8",,1,,99,
RE00113itknt,2770748,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,78,,1,,143,,"109,3",,1,,"97,6",
EM00073itknt,2770758,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48841,gnpis_pui:holding-921_taxon-4898_accession-48841,EM00073,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,91,,1,,142,,"107,6",,2,,"96,1",
EM00074itknt,2770735,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,90,,2,,143,,107,,1,,"95,5",
CF00012itknt,2770751,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48689,gnpis_pui:holding-921_taxon-4898_accession-48689,CF00012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,88,,1,,141,,"94,1",,1,,84,
Farandoleitknt,2770743,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,84,,1,,140,,"108,8",,2,,"97,2",
EM00072itknt,2770757,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,88,,1,,140,,"97,7",,2,,"87,3",
EM00087itknt,2770753,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,49626,gnpis_pui:holding-921_taxon-4898_accession-49626,EM00087,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,92,,2,,142,,"101,6",,1,,"90,7",
RE99102itknt,2770734,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,26002,https://doi.org/10.15454/4NCDUP,RE99102,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,76,,2,,136,,"95,6",,1,,"85,4",
CF00110itknt,2770741,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,86,,1,,141,,"107,6",,1,,"96,1",
EM00088itknt,2770728,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48588,gnpis_pui:holding-921_taxon-4898_accession-48588,EM00088,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,90,,1,,142,,"86,7",,1,,"77,4",
CF99085itknt,2770768,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48774,gnpis_pui:holding-921_taxon-4898_accession-48774,CF99085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,91,,2,,138,,"106,4",,1,,95,
CF00013itknt,2770750,BTH_Colmar_2001_SetB1,BTH_Colmar_2001_SetB1,48641,gnpis_pui:holding-921_taxon-4898_accession-48641,CF00013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,92,,2,,141,,"95,2",,1,,85,
