observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI02008,2780940,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,2002,4,,3,,2,,1,,1,
RE01015,2780911,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,2002,"6,5",,6,,2,,1,,6,
DI02005,2780937,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,48580,gnpis_pui:holding-921_taxon-4898_accession-48580,DI02005,VIRTUAL_TRIAL,,,,,,,,2002,4,,1,,2,,1,,3,
DI02009,2780941,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,48570,gnpis_pui:holding-921_taxon-4898_accession-48570,DI02009,VIRTUAL_TRIAL,,,,,,,,2002,4,,4,,2,,1,,1,
DI02006,2780934,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,2002,4,,3,,2,,1,,3,
RE01020,2780950,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,49034,gnpis_pui:holding-921_taxon-4898_accession-49034,RE01020,VIRTUAL_TRIAL,,,,,,,,2002,"7,5",,4,,2,,1,,6,
DI02002,2780931,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,49036,gnpis_pui:holding-921_taxon-4898_accession-49036,DI02002,VIRTUAL_TRIAL,,,,,,,,2002,5,,4,,2,,1,,3,
RE01018,2780917,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,49331,gnpis_pui:holding-921_taxon-4898_accession-49331,RE01018,VIRTUAL_TRIAL,,,,,,,,2002,"7,5",,1,,5,,1,,8,
DI02007,2780935,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,48514,gnpis_pui:holding-921_taxon-4898_accession-48514,DI02007,VIRTUAL_TRIAL,,,,,,,,2002,4,,7,,2,,1,,1,
DI02004,2780936,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,48439,gnpis_pui:holding-921_taxon-4898_accession-48439,DI02004,VIRTUAL_TRIAL,,,,,,,,2002,4,,4,,2,,1,,4,
EM01100,2780948,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,48812,gnpis_pui:holding-921_taxon-4898_accession-48812,EM01100,VIRTUAL_TRIAL,,,,,,,,2002,"4,5",,6,,2,,1,,1,
CF01043,2780951,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,2002,6,,3,,5,,1,,1,
RE01023,2780922,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,48939,gnpis_pui:holding-921_taxon-4898_accession-48939,RE01023,VIRTUAL_TRIAL,,,,,,,,2002,"4,5",,1,,5,,1,,4,
EM01063,2780945,BTH_Rennes_2002_SetB1_PIETIN-VERSE,BTH_Rennes_2002_SetB1_PIETIN-VERSE,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,2002,"7,5",,6,,2,,1,,3,
