observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM01343itkt,2782871,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2002,141,,"112,2",,"77,3",
RE02101itkt,2782883,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2002,143,,"97,6",,"67,3",
CF01188itkt,2782887,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48355,gnpis_pui:holding-921_taxon-4898_accession-48355,CF01188,VIRTUAL_TRIAL,,,,,,,,treated,2002,138,,"96,7",,"66,7",
DI02029itkt,2782875,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49029,gnpis_pui:holding-921_taxon-4898_accession-49029,DI02029,VIRTUAL_TRIAL,,,,,,,,treated,2002,135,,"99,9",,"68,9",
Apacheitkt,2782866,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2002,133,,"102,7",,"70,8",
CF01092itkt,2782847,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,26051,https://doi.org/10.15454/PBOUMT,CF01092,VIRTUAL_TRIAL,,,,,,,,treated,2002,142,,"97,6",,"67,3",
RE02105itkt,2782877,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49635,gnpis_pui:holding-921_taxon-4898_accession-49635,RE02105,VIRTUAL_TRIAL,,,,,,,,treated,2002,137,,"90,3",,"62,3",
EM01322itkt,2782862,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49004,gnpis_pui:holding-921_taxon-4898_accession-49004,EM01322,VIRTUAL_TRIAL,,,,,,,,treated,2002,140,,"108,1",,"74,6",
DI02031itkt,2782853,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49327,gnpis_pui:holding-921_taxon-4898_accession-49327,DI02031,VIRTUAL_TRIAL,,,,,,,,treated,2002,138,,"103,9",,"71,6",
RE01097itkt,2782858,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48572,gnpis_pui:holding-921_taxon-4898_accession-48572,RE01097,VIRTUAL_TRIAL,,,,,,,,treated,2002,140,,"111,8",,"77,1",
RE01091itkt,2782861,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48577,gnpis_pui:holding-921_taxon-4898_accession-48577,RE01091,VIRTUAL_TRIAL,,,,,,,,treated,2002,138,,"103,3",,"71,2",
RE02103itkt,2782848,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48405,gnpis_pui:holding-921_taxon-4898_accession-48405,RE02103,VIRTUAL_TRIAL,,,,,,,,treated,2002,142,,97,,"66,9",
EM01352itkt,2782889,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,treated,2002,140,,"106,8",,"73,6",
RE02087itkt,2782856,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48974,gnpis_pui:holding-921_taxon-4898_accession-48974,RE02087,VIRTUAL_TRIAL,,,,,,,,treated,2002,140,,"99,7",,"68,7",
DI02023itkt,2782878,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49051,gnpis_pui:holding-921_taxon-4898_accession-49051,DI02023,VIRTUAL_TRIAL,,,,,,,,treated,2002,138,,88,,"60,7",
RE01095itkt,2782859,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49084,gnpis_pui:holding-921_taxon-4898_accession-49084,RE01095,VIRTUAL_TRIAL,,,,,,,,treated,2002,139,,106,,"73,1",
DI02032itkt,2782852,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,treated,2002,141,,"98,7",,"68,1",
DI02025itkt,2782880,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48848,gnpis_pui:holding-921_taxon-4898_accession-48848,DI02025,VIRTUAL_TRIAL,,,,,,,,treated,2002,142,,"104,7",,"72,2",
DI02027itkt,2782882,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49062,gnpis_pui:holding-921_taxon-4898_accession-49062,DI02027,VIRTUAL_TRIAL,,,,,,,,treated,2002,140,,"104,8",,"72,3",
CF00060itkt,2782855,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,treated,2002,136,,"112,8",,"77,7",
DI02024itkt,2782879,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49660,gnpis_pui:holding-921_taxon-4898_accession-49660,DI02024,VIRTUAL_TRIAL,,,,,,,,treated,2002,138,,"99,6",,"68,7",
RE02132itkt,2782849,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49262,gnpis_pui:holding-921_taxon-4898_accession-49262,RE02132,VIRTUAL_TRIAL,,,,,,,,treated,2002,137,,"109,4",,"75,4",
Chargeritkt,2782870,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2002,141,,"100,8",,"69,5",
DI02026itkt,2782881,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49711,gnpis_pui:holding-921_taxon-4898_accession-49711,DI02026,VIRTUAL_TRIAL,,,,,,,,treated,2002,141,,"92,3",,"63,6",
Soissonsitkt,2782888,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2002,134,,"90,5",,"62,4",
Isengrainitkt,2782884,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2002,134,,106,,"73,1",
DI02030itkt,2782854,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48372,gnpis_pui:holding-921_taxon-4898_accession-48372,DI02030,VIRTUAL_TRIAL,,,,,,,,treated,2002,137,,"109,9",,"75,7",
RE01086itkt,2782876,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,treated,2002,136,,"92,7",,"63,9",
CF01183itkt,2782886,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48732,https://doi.org/10.15454/LGORJG,CF01183,VIRTUAL_TRIAL,,,,,,,,treated,2002,138,,"103,9",,"71,7",
RE01092itkt,2782860,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2002,138,,111,,"76,5",
EM01346itkt,2782873,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,48932,gnpis_pui:holding-921_taxon-4898_accession-48932,EM01346,VIRTUAL_TRIAL,,,,,,,,treated,2002,140,,"100,6",,"69,4",
EM01328itkt,2782867,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,treated,2002,144,,"105,2",,"72,5",
