observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI02008itkt,2786908,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,"138,5",,13,,"108,2",,"76,4",
RE02101itkfi,2786915,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,8",,"100,6",,57,
DI02008itkfi,2786907,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,2",,"111,2",,63,
EM01324itkt,2786890,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,treated,2003,81,,138,,"13,4",,"93,8",,"66,3",
EM01325itkt,2786888,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,treated,2003,"88,5",,"131,75",,"13,8",,"99,9",,"70,6",
RE01092itkt,2786878,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2003,"82,25",,132,,"15,7",,"79,9",,"56,4",
RE01092itkfi,2786877,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"14,3",,"67,1",,38,
EM01324itkfi,2786889,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,12,,"80,5",,"45,6",
DI02028itkt,2786912,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,treated,2003,"91,75",,"130,75",,"13,8",,"91,7",,"64,8",
EM01328itkfi,2786895,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,8",,"87,9",,"49,8",
Soissonsitkt,2786928,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,"90,25",,130,,"12,9",,"96,5",,"68,2",
DI02028itkfi,2786911,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"12,2",,"72,5",,"41,1",
DI02021itkfi,2786913,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,2",,99,,56,
Apacheitkfi,2786891,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,3",,102,,"57,8",
RE01015itkt,2786864,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2003,"87,5",,"133,5",,"12,3",,"115,8",,"81,8",
RE01015itkfi,2786863,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,3",,"101,5",,"57,4",
Apacheitkt,2786892,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,"131,75",,"14,3",,"100,5",,71,
EM01023itkfi,2786909,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,12,,99,,56,
EM01023itkt,2786910,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,treated,2003,"89,25",,135,,"14,3",,"92,6",,"65,4",
EM01352itkt,2786894,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,"133,75",,"14,4",,"89,2",,63,
EM01352itkfi,2786893,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,7",,"100,7",,57,
EM01325itkfi,2786887,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,8",,"90,1",,51,
Soissonsitkfi,2786927,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,5",,"94,4",,"53,4",
EM01216itkt,2786898,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,"83,75",,"134,5",,14,,"90,5",,"63,9",
CF01196itkt,2786874,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,"138,5",,"14,8",,"99,6",,"70,4",
CF01196itkfi,2786873,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"12,2",,"88,8",,"50,3",
EM01216itkfi,2786897,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"12,3",,"91,3",,"51,7",
Isengrainitkt,2786922,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,130,,"13,7",,"103,5",,"73,1",
CF01216itkt,2786876,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,"81,25",,129,,"13,1",,"98,5",,"69,6",
DI02006itkt,2786902,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2003,91,,137,,"13,1",,"99,2",,"70,1",
DI02006itkfi,2786901,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,3",,"101,9",,"57,7",
CF01085itkt,2786904,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2003,"88,25",,"132,5",,"13,6",,"105,1",,"74,3",
CF00060itkt,2786872,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,treated,2003,"88,25",,"132,5",,"16,1",,"87,7",,62,
Isengrainitkfi,2786921,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"12,2",,"106,6",,"60,4",
CF01085itkfi,2786903,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,8",,"102,1",,"57,8",
EM01062itkfi,2786881,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,3",,"87,6",,"49,6",
CF01216itkfi,2786875,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,3",,"100,7",,57,
EM01150itkt,2786926,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,treated,2003,93,,138,,"14,2",,"92,4",,"65,3",
EM01150itkfi,2786925,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,5",,"85,1",,"48,2",
EM01062itkt,2786882,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,treated,2003,"91,25",,"132,5",,"13,6",,"85,8",,"60,6",
EM01024itkfi,2786879,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,7",,"96,8",,"54,8",
EM01288itkt,2786930,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,treated,2003,98,,137,,"15,8",,79,,"55,8",
EM01288itkfi,2786929,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"13,6",,"81,5",,"46,2",
EM01024itkt,2786880,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,treated,2003,91,,"135,75",,"13,4",,"105,8",,"74,8",
DI02001itkt,2786900,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2003,"94,5",,"132,75",,"13,1",,"104,5",,"73,8",
EM01214itkt,2786866,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2003,"78,25",,128,,"14,3",,"85,5",,"60,4",
EM01214itkfi,2786865,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,2",,"87,2",,"49,4",
CF01184itkt,2786918,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,treated,2003,"88,5",,"136,75",,"13,8",,"104,2",,"73,6",
DI02001itkfi,2786899,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,1",,113,,64,
