observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM02054itkt,2789836,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2003,"94,8",,"60,2",
RE02180itkt,2789849,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48750,gnpis_pui:holding-921_taxon-4898_accession-48750,RE02180,VIRTUAL_TRIAL,,,,,,,,treated,2003,"101,6",,"64,6",
DI03013itkt,2789832,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49692,gnpis_pui:holding-921_taxon-4898_accession-49692,DI03013,VIRTUAL_TRIAL,,,,,,,,treated,2003,"99,2",,63,
EM02069itkt,2789830,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48634,gnpis_pui:holding-921_taxon-4898_accession-48634,EM02069,VIRTUAL_TRIAL,,,,,,,,treated,2003,"93,6",,"59,5",
EM02018itkt,2789831,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48897,gnpis_pui:holding-921_taxon-4898_accession-48897,EM02018,VIRTUAL_TRIAL,,,,,,,,treated,2003,"87,2",,"55,4",
DI03018itkt,2789814,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48463,gnpis_pui:holding-921_taxon-4898_accession-48463,DI03018,VIRTUAL_TRIAL,,,,,,,,treated,2003,"95,5",,"60,7",
EM02024itkt,2789846,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26410,https://doi.org/10.15454/XJYZVF,EM02024,VIRTUAL_TRIAL,,,,,,,,treated,2003,"71,8",,"45,6",
CF01014itkt,2789824,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26418,https://doi.org/10.15454/QCJETR,CF01014,VIRTUAL_TRIAL,,,,,,,,treated,2003,"96,3",,"61,2",
Isengrainitkt,2789850,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,98,,"62,3",
CF02045itkt,2789817,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49486,gnpis_pui:holding-921_taxon-4898_accession-49486,CF02045,VIRTUAL_TRIAL,,,,,,,,treated,2003,"77,2",,"49,1",
EM02096itkt,2789825,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26413,https://doi.org/10.15454/T6MNTV,EM02096,VIRTUAL_TRIAL,,,,,,,,treated,2003,"95,6",,"60,8",
DI03016itkt,2789820,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49668,gnpis_pui:holding-921_taxon-4898_accession-49668,DI03016,VIRTUAL_TRIAL,,,,,,,,treated,2003,"74,5",,"47,3",
CF02097itkt,2789844,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49504,gnpis_pui:holding-921_taxon-4898_accession-49504,CF02097,VIRTUAL_TRIAL,,,,,,,,treated,2003,"82,5",,"52,4",
EM02022itkt,2789856,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48400,gnpis_pui:holding-921_taxon-4898_accession-48400,EM02022,VIRTUAL_TRIAL,,,,,,,,treated,2003,82,,"52,1",
Chargeritkt,2789839,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,"103,9",,66,
CF02092itkt,2789843,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26419,https://doi.org/10.15454/KRA5IT,CF02092,VIRTUAL_TRIAL,,,,,,,,treated,2003,"95,7",,"60,8",
DI03009itkt,2789837,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48976,gnpis_pui:holding-921_taxon-4898_accession-48976,DI03009,VIRTUAL_TRIAL,,,,,,,,treated,2003,"85,2",,"54,1",
RE02005itkt,2789828,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48411,gnpis_pui:holding-921_taxon-4898_accession-48411,RE02005,VIRTUAL_TRIAL,,,,,,,,treated,2003,"78,6",,"49,9",
CF02326itkt,2789815,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49731,gnpis_pui:holding-921_taxon-4898_accession-49731,CF02326,VIRTUAL_TRIAL,,,,,,,,treated,2003,112,,"71,2",
DI03017itkt,2789821,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49292,gnpis_pui:holding-921_taxon-4898_accession-49292,DI03017,VIRTUAL_TRIAL,,,,,,,,treated,2003,"93,3",,"59,3",
CF02202itkt,2789813,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49710,gnpis_pui:holding-921_taxon-4898_accession-49710,CF02202,VIRTUAL_TRIAL,,,,,,,,treated,2003,"82,9",,"52,7",
DI03014itkt,2789822,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49293,gnpis_pui:holding-921_taxon-4898_accession-49293,DI03014,VIRTUAL_TRIAL,,,,,,,,treated,2003,"109,8",,"69,8",
RE02073itkt,2789842,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48792,gnpis_pui:holding-921_taxon-4898_accession-48792,RE02073,VIRTUAL_TRIAL,,,,,,,,treated,2003,94,,"59,8",
DI03011itkt,2789819,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26428,https://doi.org/10.15454/QSCEEU,DI03011,VIRTUAL_TRIAL,,,,,,,,treated,2003,"103,4",,"65,7",
RE02165itkt,2789851,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49008,gnpis_pui:holding-921_taxon-4898_accession-49008,RE02165,VIRTUAL_TRIAL,,,,,,,,treated,2003,74,,47,
CF02139itkt,2789838,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49244,gnpis_pui:holding-921_taxon-4898_accession-49244,CF02139,VIRTUAL_TRIAL,,,,,,,,treated,2003,"70,3",,"44,6",
EM02013itkt,2789829,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49283,gnpis_pui:holding-921_taxon-4898_accession-49283,EM02013,VIRTUAL_TRIAL,,,,,,,,treated,2003,"107,3",,"68,2",
CF02096itkt,2789845,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49287,gnpis_pui:holding-921_taxon-4898_accession-49287,CF02096,VIRTUAL_TRIAL,,,,,,,,treated,2003,"92,5",,"58,8",
EM02065itkt,2789840,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26412,https://doi.org/10.15454/8UNSOD,EM02065,VIRTUAL_TRIAL,,,,,,,,treated,2003,"95,9",,"60,9",
DI03010itkt,2789818,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49346,gnpis_pui:holding-921_taxon-4898_accession-49346,DI03010,VIRTUAL_TRIAL,,,,,,,,treated,2003,"96,6",,"61,4",
RE02013itkt,2789848,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48995,gnpis_pui:holding-921_taxon-4898_accession-48995,RE02013,VIRTUAL_TRIAL,,,,,,,,treated,2003,"76,6",,"48,7",
CF03427itkt,2789826,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49229,gnpis_pui:holding-921_taxon-4898_accession-49229,CF03427,VIRTUAL_TRIAL,,,,,,,,treated,2003,"106,8",,"67,9",
DI03015itkt,2789823,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,treated,2003,94,,"59,8",
EM02026itkt,2789855,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26411,https://doi.org/10.15454/CYWIQW,EM02026,VIRTUAL_TRIAL,,,,,,,,treated,2003,"76,1",,"48,4",
CF02098itkt,2789841,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48547,gnpis_pui:holding-921_taxon-4898_accession-48547,CF02098,VIRTUAL_TRIAL,,,,,,,,treated,2003,"86,9",,"55,2",
EM02121itkt,2789827,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49449,gnpis_pui:holding-921_taxon-4898_accession-49449,EM02121,VIRTUAL_TRIAL,,,,,,,,treated,2003,"89,3",,"56,8",
DI03012itkt,2789816,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26429,https://doi.org/10.15454/FOQIZY,DI03012,VIRTUAL_TRIAL,,,,,,,,treated,2003,"104,9",,"66,6",
CF02033itkt,2789834,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48585,gnpis_pui:holding-921_taxon-4898_accession-48585,CF02033,VIRTUAL_TRIAL,,,,,,,,treated,2003,"72,4",,46,
RE02162itkt,2789853,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26101,https://doi.org/10.15454/FFIEB9,RE02162,VIRTUAL_TRIAL,,,,,,,,treated,2003,"88,9",,"56,5",
Apacheitkt,2789833,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,"85,7",,"54,5",
RE02186itkt,2789847,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,49363,gnpis_pui:holding-921_taxon-4898_accession-49363,RE02186,VIRTUAL_TRIAL,,,,,,,,treated,2003,"72,7",,"46,2",
Soissonsitkt,2789854,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,"112,4",,"71,4",
EM02120itkt,2789835,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,48658,gnpis_pui:holding-921_taxon-4898_accession-48658,EM02120,VIRTUAL_TRIAL,,,,,,,,treated,2003,"70,1",,"44,6",
CF01046itkt,2789852,BTH_Dijon_2003_SetB2,BTH_Dijon_2003_SetB2,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2003,"118,7",,"75,4",
