observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE03136itkfi,2799173,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49407,gnpis_pui:holding-921_taxon-4898_accession-49407,RE03136,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,07",,"100,5",,"85,5",
CF03252itkfi,2799181,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49339,gnpis_pui:holding-921_taxon-4898_accession-49339,CF03252,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,72",,"98,8",,84,
LM03010itkfi,2799167,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48581,gnpis_pui:holding-921_taxon-4898_accession-48581,LM03010,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,18",,"105,8",,90,
LM03010itkt,2799168,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48581,gnpis_pui:holding-921_taxon-4898_accession-48581,LM03010,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,16",,99,,"93,3",
DI04010itkfi,2799125,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48983,gnpis_pui:holding-921_taxon-4898_accession-48983,DI04010,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"10,04",,"105,2",,"89,5",
DI04010itkt,2799126,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48983,gnpis_pui:holding-921_taxon-4898_accession-48983,DI04010,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,42",,"99,4",,"93,7",
EM03047itkfi,2799099,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49041,gnpis_pui:holding-921_taxon-4898_accession-49041,EM03047,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,02",,"98,8",,"84,1",
EM03047itkt,2799100,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49041,gnpis_pui:holding-921_taxon-4898_accession-49041,EM03047,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,59",,"98,4",,"92,7",
RE03098itkt,2799184,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48665,gnpis_pui:holding-921_taxon-4898_accession-48665,RE03098,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,04",,93,,"87,6",
RE03098itkfi,2799183,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,48665,gnpis_pui:holding-921_taxon-4898_accession-48665,RE03098,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,41",,"101,2",,"86,1",
EM03051itkt,2799142,BTH_Estrées-Mons_2004_SetB2,BTH_Estrées-Mons_2004_SetB2,49248,gnpis_pui:holding-921_taxon-4898_accession-49248,EM03051,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,36",,"107,4",,"101,2",
