observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
EM02207itkt,2802142,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,146,,"90,1",,"77,1",,3,
Koreliitkt,2802130,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2005,"85,5",,146,,99,,"84,8",,1,
CF03201itkt,2802131,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,144,,"90,2",,"77,2",,2,
EM02224itkt,2802152,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2005,82,,145,,"90,5",,"77,5",,4,
EM02054itkt,2802129,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2005,"83,5",,146,,"87,9",,"75,2",,5,
DI02006itkt,2802127,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,145,,"95,6",,"81,8",,4,
AO04001itkt,2802125,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,treated,2005,91,,149,,"93,6",,"80,1",,1,
DI01022itkt,2802128,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,142,,"85,3",,73,,5,
LM03004itkt,2802156,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,treated,2005,"74,5",,144,,87,,"74,4",,2,
Apacheitkt,2802133,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,"72,5",,141,,"95,2",,"81,5",,3,
Chargeritkt,2802140,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,70,,145,,"102,3",,"87,5",,3,
Croustyitkt,2802144,BTH_Champagne-céréales_2005_SetA1,BTH_Champagne-céréales_2005_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,144,,"90,2",,"77,2",,3,
