observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI02008itknt,2802771,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,79,,"145,5",,"74,4",,"112,4",,"76,6",,"2,5",
CF03102itknt,2802757,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"81,5",,146,,"72,8",,"88,2",,"60,1",,"4,5",
DI02008itkt,2802772,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2005,82,,146,,"74,4",,"102,7",,79,,,
Soissonsitkt,2802798,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2005,"83,5",,139,,"79,6",,70,,"53,8",,,
Koreliitkt,2802750,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2005,92,,"146,5",,"78,6",,"93,1",,"71,6",,,
Koreliitknt,2802749,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"90,5",,147,,"78,5",,"116,8",,"79,6",,2,
Tamaroitkt,2802800,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2005,99,,147,,"75,9",,65,,50,,,
EM00074itknt,2802783,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"83,5",,145,,"76,7",,"100,8",,"68,7",,2,
RE03101itknt,2802741,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"78,5",,"143,5",,"74,5",,"97,7",,"66,6",,3,
CF03102itkt,2802758,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,treated,2005,"85,5",,"145,5",,"72,8",,"95,6",,"73,5",,,
CF03201itkt,2802752,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,143,,"79,6",,"82,3",,"63,3",,,
Tamaroitknt,2802799,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,97,,148,,"79,2",,"68,3",,"46,5",,2,
DI03015itknt,2802735,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,80,,145,,74,,"104,2",,"71,1",,2,
CF03201itknt,2802751,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,143,,"78,7",,80,,"54,6",,2,
Tremieitkt,2802782,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2005,83,,138,,"75,9",,"83,9",,"64,5",,,
Tremieitknt,2802781,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"77,5",,138,,"74,5",,"82,4",,"56,2",,6,
EM02224itkt,2802794,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2005,89,,144,,77,,"97,6",,75,,,
RE03101itkt,2802742,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,treated,2005,"79,5",,"143,5",,"73,9",,"93,7",,72,,,
EM02207itknt,2802773,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,"143,5",,73,,"93,7",,"63,9",,2,
EM02224itknt,2802793,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"89,5",,143,,"75,4",,"104,6",,"71,3",,2,
CF01046itkt,2802790,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2005,"85,5",,144,,"75,6",,"94,1",,"72,3",,,
RE03094itknt,2802795,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,81,,143,,"73,4",,"93,1",,"63,5",,2,
Caphornitkt,2802762,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,141,,"76,7",,98,,"75,4",,,
CF01046itknt,2802789,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,86,,"143,5",,"75,2",,"102,3",,"69,7",,"2,5",
EM02054itkt,2802748,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2005,"89,5",,"144,5",,79,,"100,1",,"76,9",,,
LM03005itkt,2802738,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,143,,75,,"74,7",,"57,4",,,
Caphornitknt,2802761,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,76,,141,,76,,"106,2",,"72,4",,3,
EM02054itknt,2802747,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"86,5",,"144,5",,"79,6",,"108,2",,"73,8",,2,
RE03094itkt,2802796,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,treated,2005,"81,5",,143,,"72,7",,"95,1",,"73,1",,,
DI02006itkt,2802744,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2005,"86,5",,"144,5",,74,,"93,5",,"71,9",,,
Rytmicitkt,2802754,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2005,"88,5",,147,,"72,1",,87,,"66,9",,,
DI02006itknt,2802743,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,83,,"144,5",,"72,5",,"102,4",,"69,8",,2,
Rytmicitknt,2802753,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,147,,"72,5",,"96,5",,"65,8",,2,
LM03005itknt,2802737,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"78,5",,141,,"75,7",,"81,7",,"55,7",,"3,5",
AO04001itkt,2802740,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,treated,2005,"99,5",,150,,"70,7",,"79,9",,"61,4",,,
Orvantisitknt,2802787,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,83,,141,,"75,7",,"103,6",,"70,7",,"5,5",
Orvantisitkt,2802788,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,143,,"75,7",,"103,6",,"79,7",,,
RE03014itkt,2802792,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,treated,2005,"90,5",,146,,75,,"79,1",,"60,8",,,
AO04001itknt,2802739,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"96,5",,"149,5",,"73,8",,"98,4",,"67,1",,2,
RE03014itknt,2802791,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,"144,5",,"75,7",,"93,8",,"63,9",,2,
CF03167itkt,2802776,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,144,,"74,2",,"92,5",,"71,1",,,
DI01022itkt,2802746,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"140,5",,"76,4",,"61,1",,47,,,
DI01022itknt,2802745,BTH_Dijon_2005_SetA1,BTH_Dijon_2005_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"82,5",,139,,"76,3",,"72,8",,"49,6",,2,
