observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Farandoleitknt,2803783,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,"71,2",,"125,3",,"94,8",,1,
DI02008itknt,2803791,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,"75,6",,"121,9",,"92,2",,1,
Koreliitkt,2803770,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2005,95,,"149,5",,"80,8",,"110,9",,"104,1",,2,
Koreliitknt,2803769,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"97,5",,,,"79,6",,"129,9",,"98,2",,"1,5",
CF03201itkt,2803772,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2005,95,,"145,5",,"79,4",,"108,1",,"101,5",,4,
CF03201itknt,2803771,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,,,"78,1",,"130,3",,"98,6",,7,
EM02224itknt,2803813,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,,,"72,2",,"114,4",,"86,5",,2,
EM02224itkt,2803814,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,147,,"74,1",,"105,1",,"98,7",,1,
EM02054itkt,2803768,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,148,,"79,7",,"103,1",,"96,8",,1,
EM02054itknt,2803767,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,,,"78,5",,"120,7",,"91,3",,1,
DI02006itkt,2803764,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,148,,"73,4",,"101,9",,"95,7",,1,
DI02006itknt,2803763,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,,,"69,4",,90,,68,,1,
AO04001itkt,2803760,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,treated,2005,"102,5",,"155,5",,"76,4",,"98,3",,"92,3",,1,
AO04001itknt,2803759,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,105,,,,"74,2",,"101,6",,"76,8",,1,
DI01022itkt,2803766,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2005,95,,143,,"77,6",,"112,1",,"105,2",,1,
DI01022itknt,2803765,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"92,5",,,,"77,4",,"133,5",,101,,"2,5",
LM03004itkt,2803822,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"146,5",,75,,"89,2",,"83,7",,1,
LM03004itknt,2803821,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,"72,4",,"101,6",,"76,8",,1,
Apacheitknt,2803775,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"82,5",,,,"73,9",,"93,2",,"70,5",,1,
Apacheitkt,2803776,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"143,5",,76,,"95,6",,"89,8",,1,
Chargeritkt,2803790,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,"77,5",,148,,"71,6",,"97,4",,"91,4",,1,
Chargeritknt,2803789,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,80,,,,"66,1",,"94,9",,"71,8",,1,
Croustyitkt,2803798,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2005,100,,147,,"78,8",,"102,9",,"96,6",,1,
Croustyitknt,2803797,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,100,,,,"78,3",,"116,1",,"87,8",,1,
Tamaroitkt,2803820,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2005,"102,5",,150,,"79,6",,"82,1",,"77,1",,1,
Tamaroitknt,2803819,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,,,"80,5",,"87,5",,"66,2",,1,
Tremieitknt,2803801,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,"72,4",,"106,2",,"80,4",,1,
Tremieitkt,2803802,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"140,5",,"74,7",,"103,3",,"96,9",,1,
Caphornitkt,2803782,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"143,5",,"76,2",,"104,6",,"98,2",,1,
Caphornitknt,2803781,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"82,5",,,,"73,8",,"111,4",,"84,3",,1,
RE03014itknt,2803811,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"92,5",,,,73,,"119,1",,"90,1",,1,
RE03014itkt,2803812,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,treated,2005,95,,149,,"73,4",,"101,4",,"95,2",,1,
CF03167itkt,2803796,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,149,,"73,6",,"100,7",,"94,5",,1,
CF03167itknt,2803795,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,,,"70,9",,"103,3",,"78,1",,1,
CF03104itknt,2803785,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"92,5",,,,"71,9",,"111,1",,"84,1",,1,
CF03104itkt,2803786,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,146,,"72,2",,101,,"94,8",,1,
CF03163itkt,2803800,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26796,https://doi.org/10.15454/FR99SD,CF03163,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,150,,"72,9",,"96,6",,"90,6",,1,
CF03163itknt,2803799,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26796,https://doi.org/10.15454/FR99SD,CF03163,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,80,,,,"68,9",,"99,9",,"75,6",,1,
CF03102itknt,2803777,BTH_Orgeval_2005_SetA1,BTH_Orgeval_2005_SetA1,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,,,"68,2",,"107,6",,"81,4",,2,
