observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI02008itkt,2804117,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,145,,"12,14",,"94,2",,,,"100,8",,,,,,1,
DI02008itknt,2804116,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,145,,,,122,,1,,"88,9",,1,,6,,1,
CF03102itknt,2804095,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,100,,141,,,,"118,4",,4,,"86,3",,1,,8,,1,
Croustyitknt,2804125,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"107,5",,137,,,,"108,5",,6,,"79,1",,"2,5",,8,,1,
DI02008itkfi,2804115,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,91,,144,,"11,36",,"123,9",,2,,"88,9",,1,,,,,
CF03102itkfi,2804094,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,105,,139,,"10,62",,"107,9",,7,,"77,4",,1,,,,,
Soissonsitkt,2804156,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,128,,"11,58",,"103,9",,,,"111,1",,,,,,1,
Koreliitkfi,2804082,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"102,5",,141,,"11,62",,"130,2",,"2,5",,"93,3",,1,,,,,
EM00074itkt,2804135,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2005,95,,144,,"11,76",,"97,2",,,,104,,,,,,1,
Koreliitkt,2804084,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2005,95,,144,,"11,22",,"95,4",,,,"102,1",,,,,,1,
Koreliitknt,2804083,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,100,,144,,,,"131,1",,"1,5",,"95,6",,1,,"3,5",,1,
CF03102itkt,2804096,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,treated,2005,100,,141,,"10,47",,"103,2",,,,"110,4",,,,,,1,
Tamaroitknt,2804158,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"112,5",,145,,,,"76,2",,"2,5",,"55,6",,1,,"6,5",,1,
Tamaroitkt,2804159,BTH_Rennes_2005_SetA1,BTH_Rennes_2005_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2005,110,,145,,"15,92",,"66,6",,,,"71,2",,,,,,1,
