observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Barokitkt,2805015,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2005,148,,"11,14",,"121,3",,"117,1",,2,
LM03051itkt,2805063,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,treated,2005,"153,5",,"11,5",,"89,2",,"86,1",,1,
Caphornitknt,2805065,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"107,2",,"84,3",,1,
Caphornitkfi,2805064,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,147,,"10,17",,"104,1",,"84,4",,,
Barokitknt,2805014,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"130,2",,"102,3",,1,
Orvantisitknt,2805101,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"98,6",,"77,5",,1,
Orvantisitkfi,2805100,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"147,5",,"9,25",,"100,6",,"81,6",,,
DI9714itknt,2805032,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,NA,,NA,,NA,
EM00107itkfi,2805034,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,149,,"9,85",,"118,7",,"96,3",,,
DI9714itkfi,2805031,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,NA,,"10,52",,NA,,NA,,,
DI04018itkt,2805054,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,treated,2005,"148,5",,"10,8",,"104,8",,"101,2",,1,
DI9714itkt,2805033,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2005,NA,,"11,56",,NA,,NA,,NA,
DI04018itkfi,2805052,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,148,,"9,51",,"103,4",,"83,9",,,
DI04017itknt,2805038,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"112,1",,"88,1",,1,
DI04018itknt,2805053,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"115,7",,"90,9",,1,
DI04017itkfi,2805037,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,147,,"10,3",,"120,7",,"97,9",,,
EM03206itkt,2805114,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,treated,2005,"150,5",,"11,1",,"96,5",,"93,2",,1,
DI04019itknt,2805050,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"111,7",,"87,8",,1,
EM03206itkfi,2805112,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,148,,"10,12",,"110,6",,"89,7",,,
LM03014itkt,2805093,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2005,147,,"10,7",,"97,5",,"94,1",,2,
EM01068itknt,2805059,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,98,,77,,1,
DI04024itkt,2805108,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,treated,2005,"148,5",,"11,18",,"96,9",,"93,6",,1,
EM03206itknt,2805113,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"109,7",,"86,2",,1,
DI05030itkt,2805030,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,treated,2005,148,,"10,88",,"112,9",,109,,1,
DI05030itkfi,2805028,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,148,,"9,84",,"109,1",,"88,4",,,
DI04024itknt,2805107,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"106,4",,"83,6",,1,
EM01343itknt,2805074,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"96,3",,"75,7",,"1,5",
DI04024itkfi,2805106,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,148,,"9,78",,"109,8",,89,,,
DI05030itknt,2805029,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,"111,4",,"87,6",,"1,5",
EM01343itkfi,2805073,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,150,,"10,26",,"95,7",,"77,6",,,
Farandoleitknt,2805068,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,,,,,116,,"91,2",,1,
EM01343itkt,2805075,BTH_Estrées-Mons_2005_SetA2,BTH_Estrées-Mons_2005_SetA2,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2005,"151,5",,"10,76",,"97,6",,"94,2",,"1,5",
