observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date
DI05021itkt,2809154,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2005,84,,"142,5",,77,
DI05025itkt,2809127,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,treated,2005,92,,144,,"76,4",
Apacheitkt,2809140,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,"79,5",,"141,5",,"78,5",
DI05024itkt,2809158,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,49558,gnpis_pui:holding-921_taxon-4898_accession-49558,DI05024,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,"140,5",,"74,4",
EM03332itkt,2809157,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"146,5",,"73,6",
Farandoleitkt,2809147,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,141,,"75,1",
RE04100itkt,2809132,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,49735,gnpis_pui:holding-921_taxon-4898_accession-49735,RE04100,VIRTUAL_TRIAL,,,,,,,,treated,2005,76,,"147,5",,"72,6",
CF04048itkt,2809145,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"144,5",,"76,3",
CF04043itkt,2809135,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2005,89,,"140,5",,"78,1",
RE04094itkt,2809141,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48721,gnpis_pui:holding-921_taxon-4898_accession-48721,RE04094,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,146,,"68,8",
CF04022itkt,2809133,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,"143,5",,"74,8",
RE04098itkt,2809138,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48437,gnpis_pui:holding-921_taxon-4898_accession-48437,RE04098,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,148,,"72,2",
RE04108itkt,2809129,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48339,gnpis_pui:holding-921_taxon-4898_accession-48339,RE04108,VIRTUAL_TRIAL,,,,,,,,treated,2005,"77,5",,"145,5",,"72,9",
CF04052itkt,2809128,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,141,,"75,7",
CF04114itkt,2809130,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48527,https://doi.org/10.15454/5LEWVH,CF04114,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,141,,"74,3",
RE04097itkt,2809142,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48464,gnpis_pui:holding-921_taxon-4898_accession-48464,RE04097,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,"146,5",,"69,9",
DI05029itkt,2809150,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,49554,gnpis_pui:holding-921_taxon-4898_accession-49554,DI05029,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,146,,"75,9",
DI05022itkt,2809156,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,141,,"74,9",
CF04101itkt,2809149,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,49054,gnpis_pui:holding-921_taxon-4898_accession-49054,CF04101,VIRTUAL_TRIAL,,,,,,,,treated,2005,"77,5",,139,,"77,5",
CF04164itkt,2809139,BTH_Dijon_2005_SetB3,BTH_Dijon_2005_SetB3,48363,gnpis_pui:holding-921_taxon-4898_accession-48363,CF04164,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,141,,79,
