observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE04009itknt,2814193,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,3,,140,,,,"115,1",,3,,"88,1",,1,,6,
DI05020-2itkt,2814242,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,138,,"10,01",,"110,9",,,,"113,1",,,,,
DI05020-2itknt,2814241,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,1,,138,,,,"115,7",,6,,"88,6",,1,,6,
DI05022itkt,2814272,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,139,,"9,18",,"102,9",,,,"104,9",,,,,
DI05022itknt,2814271,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,1,,139,,,,117,,6,,"89,5",,1,,6,
DI05022itkfi,2814270,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,139,,"8,77",,"104,4",,6,,"84,4",,1,,,
DI05004itkt,2814185,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,142,,"9,97",,"94,4",,,,"96,2",,,,,
DI05004itknt,2814184,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,3,,142,,,,92,,6,,"70,4",,1,,6,
DI05004itkfi,2814183,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,142,,"9,56",,"92,3",,6,,"74,6",,3,,,
DI05003-2itknt,2814223,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,80,,1,,142,,,,"98,6",,6,,"75,4",,1,,7,
DI05003-2itkt,2814224,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,,,142,,"11,02",,"93,9",,,,"95,7",,,,,
DI05003-2itkfi,2814222,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,140,,"9,08",,"94,2",,4,,"76,2",,1,,,
DI05001-2itkfi,2814216,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,1,,144,,"9,03",,"105,3",,4,,"85,1",,1,,,
DI05001-2itkt,2814218,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,70,,,,144,,"9,39",,"97,4",,,,"99,3",,,,,
DI05001-2itknt,2814217,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,75,,1,,144,,,,"105,2",,4,,"80,5",,1,,6,
DI05021itkt,2814266,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,,,138,,"9,34",,"106,6",,,,"108,7",,,,,
DI05021itkfi,2814264,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,3,,139,,"9,61",,"111,7",,6,,"90,3",,1,,,
DI05021itknt,2814265,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,3,,138,,,,"120,2",,4,,92,,1,,NA,
DI05020itknt,2814268,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,4,,139,,,,"116,8",,6,,"89,4",,1,,6,
DI05020itkt,2814269,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,,,139,,"10,22",,"111,4",,,,"113,5",,,,,
DI05020itkfi,2814267,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,138,,"8,19",,"111,8",,4,,"90,3",,1,,,
EM03332itkfi,2814225,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,3,,143,,"9,7",,"102,3",,3,,"82,7",,1,,,
EM03332itkt,2814227,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2006,87,,,,144,,"9,85",,"91,9",,,,"93,7",,,,,
EM03332itknt,2814226,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,6,,144,,,,"103,5",,3,,"79,2",,1,,4,
DI05014itkt,2814206,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,,,144,,"11,14",,"101,3",,,,"103,3",,,,,
DI05014itkfi,2814204,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,3,,142,,"9,5",,"106,4",,3,,86,,1,,,
DI05014itknt,2814205,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,3,,144,,,,"117,7",,3,,"90,1",,1,,4,
CF04043itkfi,2814210,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,1,,138,,"9,14",,"113,7",,3,,"91,9",,1,,,
CF04043itkt,2814212,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,95,,,,138,,"9,65",,"107,2",,,,"109,3",,,,,
CF04043itknt,2814211,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,100,,4,,138,,,,"123,7",,3,,"94,6",,1,,6,
Hendrixitkfi,2814195,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,1,,140,,"10,22",,"103,3",,2,,"83,5",,1,,,
Hendrixitknt,2814196,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,1,,142,,,,"108,5",,3,,83,,1,,NA,
Hendrixitkt,2814197,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,,,142,,"12,15",,"86,2",,,,"87,9",,,,,
RE04022itkt,2814200,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,,,143,,"11,34",,105,,,,"107,1",,,,,
RE04022itknt,2814199,BTH_Rennes_2006_SetA2,BTH_Rennes_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,3,,143,,,,"111,4",,6,,"85,2",,1,,6,
