observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date
CF05079itkfi,2815870,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"78,3",
Apacheitkfi,2815857,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,6",
RE05047itkfi,2815845,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,2",
RE05038itkfi,2815864,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,2",
AO06407itkfi,2815848,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,3",
CF05089itkfi,2815842,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49702,gnpis_pui:holding-921_taxon-4898_accession-49702,CF05089,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,5",
CF05084itkfi,2815844,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48438,gnpis_pui:holding-921_taxon-4898_accession-48438,CF05084,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,9",
DI06009itkfi,2815876,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48923,gnpis_pui:holding-921_taxon-4898_accession-48923,DI06009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,76,
Orvantisitkfi,2815871,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"77,1",
CF05169itkfi,2815847,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48736,https://doi.org/10.15454/X75WAV,CF05169,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,5",
RE05039itkfi,2815856,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,71,
DI06013itkfi,2815852,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49342,gnpis_pui:holding-921_taxon-4898_accession-49342,DI06013,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,8",
CF04060itkfi,2815858,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49634,gnpis_pui:holding-921_taxon-4898_accession-49634,CF04060,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,9",
RE05037itkfi,2815863,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,4",
RE05031itkfi,2815859,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49144,gnpis_pui:holding-921_taxon-4898_accession-49144,RE05031,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,6",
CF05235itkfi,2815846,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48770,https://doi.org/10.15454/EKVXQT,CF05235,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,3",
DI06014itkfi,2815855,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49534,https://doi.org/10.15454/1WVZPY,DI06014,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,7",
DI06010itkfi,2815851,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48551,gnpis_pui:holding-921_taxon-4898_accession-48551,DI06010,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,9",
DI06012itkfi,2815853,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49037,gnpis_pui:holding-921_taxon-4898_accession-49037,DI06012,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,9",
CF05161itkfi,2815849,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,9",
RE05011itkfi,2815866,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26899,https://doi.org/10.15454/3NYQAY,RE05011,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,6",
DI06015itkfi,2815854,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49503,gnpis_pui:holding-921_taxon-4898_accession-49503,DI06015,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,1",
EM05274itkfi,2815869,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48852,gnpis_pui:holding-921_taxon-4898_accession-48852,EM05274,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,8",
Chargeritkfi,2815865,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,1",
RE05016itkfi,2815867,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,4",
Farandoleitkfi,2815861,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,9",
AO05003itkfi,2815873,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,1",
Caphornitkfi,2815860,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,5",
DI06011itkfi,2815850,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48760,gnpis_pui:holding-921_taxon-4898_accession-48760,DI06011,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,6",
CF05031itkfi,2815872,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49286,gnpis_pui:holding-921_taxon-4898_accession-49286,CF05031,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"79,6",
DI06016itkfi,2815877,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49166,gnpis_pui:holding-921_taxon-4898_accession-49166,DI06016,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,5",
CF05159itkfi,2815874,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48381,gnpis_pui:holding-921_taxon-4898_accession-48381,CF05159,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"77,4",
RE05050itkfi,2815862,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"77,6",
RE05065itkfi,2815843,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49606,gnpis_pui:holding-921_taxon-4898_accession-49606,RE05065,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,4",
RE05079itkfi,2815868,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48975,https://doi.org/10.15454/JTGRMP,RE05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,70,
RE05008itkfi,2815840,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49422,https://doi.org/10.15454/9VMAGV,RE05008,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"68,5",
EM05256itkfi,2815839,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,48632,gnpis_pui:holding-921_taxon-4898_accession-48632,EM05256,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,1",
DI06008itkfi,2815875,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,49044,gnpis_pui:holding-921_taxon-4898_accession-49044,DI06008,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,4",
RE05005itkfi,2815841,BTH_Colmar_2006_SetB2,BTH_Colmar_2006_SetB2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,9",
