observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF04076itkt,2818977,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,traité,2007,129,,"11,11",,"72,7",,"98,5",,,,"93,4",,1,
DI05020-2itkfi,2819012,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,124,,"9,52",,"75,9",,107,,5,,"78,4",,,
DI05022itkfi,2819032,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,127,,"9,83",,"74,4",,"106,3",,5,,"77,9",,,
DI05022itkt,2819033,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,traité,2007,127,,"10,67",,"77,6",,"108,9",,,,"103,3",,1,
Koreliitkt,2818989,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,traité,2007,126,,"11,2",,"83,8",,"110,2",,,,"104,4",,1,
Koreliitkfi,2818988,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,126,,"10,24",,"80,6",,"104,4",,4,,"76,6",,,
Barokitkfi,2818972,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,125,,"9,85",,"75,1",,"104,8",,3,,"76,9",,,
Barokitkt,2818973,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,traité,2007,127,,"10,72",,"75,4",,"101,4",,,,"96,1",,1,
EM03332itkt,2819035,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,traité,2007,131,,"11,38",,"77,1",,"101,5",,,,"96,2",,1,
EM03332itkfi,2819034,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,130,,10,,"74,7",,"106,8",,4,,"78,3",,,
DI05014itkt,2818987,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,traité,2007,129,,"11,18",,74,,"100,9",,,,"95,7",,1,
DI05014itkfi,2818986,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,129,,"9,51",,"70,4",,97,,3,,"71,1",,,
CF03201itkfi,2819008,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,124,,"11,07",,"80,5",,111,,2,,"81,4",,,
CF03201itkt,2819009,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,traité,2007,125,,"11,58",,"82,6",,"103,2",,,,"97,9",,1,
AO06313itkt,2818981,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,traité,2007,121,,"10,84",,"80,9",,"109,7",,,,104,,1,
AO06313itkfi,2818980,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,120,,"9,16",,"77,3",,98,,8,,"71,9",,,
CF04043itkt,2819011,BTH_Clermont-Ferrand_2007_SetA1,BTH_Clermont-Ferrand_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,traité,2007,122,,"10,77",,"76,8",,"104,6",,,,"99,2",,2,
