observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF04076itkt,2819215,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,traité,2007,"125,5",,"12,4",,71,,102,,,,"69,3",
DI05020-2itkfi,2819250,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,123,,"10,4",,"73,6",,"107,6",,3,,58,
DI05022itkt,2819271,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,traité,2007,"127,5",,"13,4",,"74,3",,"93,2",,,,"63,3",
DI05022itkfi,2819270,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"125,5",,"11,43",,"72,6",,106,,"2,5",,"57,1",
Koreliitkt,2819227,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,traité,2007,"125,5",,"11,73",,"77,7",,"111,6",,,,"75,8",
Koreliitkfi,2819226,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,125,,"11,12",,"76,6",,91,,2,,"49,1",
Barokitkfi,2819210,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,124,,"9,57",,"73,7",,"116,6",,3,,"62,8",
Barokitkt,2819211,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,traité,2007,125,,"11,56",,"74,8",,"112,2",,,,"76,3",
EM03332itkt,2819273,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,traité,2007,129,,"13,09",,73,,"98,7",,,,"67,1",
EM03332itkfi,2819272,BTH_Dijon_2007_SetA1,BTH_Dijon_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"128,5",,"10,6",,"71,1",,"110,8",,"2,5",,"59,7",
