observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2819644,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"42,25",,"10,16",,"71,7",,"76,99",
2,2819691,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"51,1",,"11,4",,"68,8",,"102,38",
1,2819690,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"50,08",,"10,99",,"70,6",,"103,3",
1,2819688,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"61,9",,"86,47",
2,2819687,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"45,94",,"10,36",,"66,6",,"85,16",
1,2819686,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"46,87",,"9,52",,"67,8",,"82,43",
2,2819689,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"66,8",,"84,95",
1,2819642,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"49,09",,"11,85",,"69,6",,"97,64",
2,2819641,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"57,2",,"71,6",
2,2819639,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"44,24",,"9,65",,"69,3",,"76,57",
1,2819640,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"66,2",,"77,45",
1,2819638,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,NA,,NA,,69,,NA,
2,2819643,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"55,04",,"11,51",,"70,3",,"98,86",
