observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2819931,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,23",,"71,3",,"4,2",,"57,78",
1,2819970,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,09",,"67,2",,5,,"41,66",
2,2819961,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,93",,"73,1",,,,"85,55",
1,2819960,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,87",,"73,1",,,,"79,51",
1,2819958,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,59",,62,,"3,8",,"52,73",
2,2819959,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,95",,"62,9",,"4,5",,"53,81",
1,2819926,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"14,61",,63,,"5,2",,"46,93",
2,2819929,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,79",,"73,8",,,,"81,23",
1,2819928,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"13,07",,"71,6",,,,"77,11",
2,2819927,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,62",,"63,1",,6,,"49,81",
