observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Caphornitkt,2822555,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2007,123,,"73,8",,99,,95,,1,
RE06055itkt,2822557,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,treated,2007,131,,"74,5",,"90,4",,"86,7",,1,
RE06023itkt,2822562,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,treated,2007,128,,"79,2",,"93,5",,"89,6",,1,
RE06050itkt,2822542,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,treated,2007,123,,"74,7",,"100,4",,"96,3",,1,
CF06136itkt,2822571,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2007,119,,"78,2",,"99,8",,"95,7",,1,
CF06016itkt,2822563,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,treated,2007,128,,74,,"99,9",,"95,8",,1,
AO07210itkt,2822566,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2007,120,,"72,1",,"96,8",,"92,8",,3,
RE06060itkt,2822565,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2007,121,,"74,3",,"97,2",,"93,2",,1,
CF06003itkt,2822545,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49241,gnpis_pui:holding-921_taxon-4898_accession-49241,CF06003,VIRTUAL_TRIAL,,,,,,,,treated,2007,125,,79,,"104,4",,100,,1,
DI07005itkt,2822536,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,VIRTUAL_TRIAL,,,,,,,,treated,2007,126,,"72,9",,"92,4",,"88,6",,1,
EM06010itkt,2822529,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,VIRTUAL_TRIAL,,,,,,,,treated,2007,127,,"77,5",,"90,6",,"86,8",,1,
RE06007itkt,2822532,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,VIRTUAL_TRIAL,,,,,,,,treated,2007,127,,"73,3",,"86,2",,"82,6",,4,
CF06001itkt,2822543,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,VIRTUAL_TRIAL,,,,,,,,treated,2007,124,,77,,"104,8",,"100,4",,1,
DI07002itkt,2822535,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,VIRTUAL_TRIAL,,,,,,,,treated,2007,128,,"78,6",,"91,9",,"88,1",,1,
Apacheitkt,2822558,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2007,120,,"81,1",,"101,5",,"97,3",,1,
CF06111itkt,2822561,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,VIRTUAL_TRIAL,,,,,,,,treated,2007,133,,77,,"96,2",,"92,2",,1,
DI07004itkt,2822537,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,VIRTUAL_TRIAL,,,,,,,,treated,2007,127,,"74,6",,"89,8",,"86,1",,1,
EM06021itkt,2822546,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,VIRTUAL_TRIAL,,,,,,,,treated,2007,124,,"80,6",,"104,2",,"99,9",,1,
DI07007itkt,2822538,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48889,gnpis_pui:holding-921_taxon-4898_accession-48889,DI07007,VIRTUAL_TRIAL,,,,,,,,treated,2007,128,,"76,2",,91,,"87,3",,1,
Sankaraitkt,2822553,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2007,127,,75,,98,,94,,1,
Toisondoritkt,2822528,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2007,122,,"76,8",,"96,1",,"92,2",,1,
Karillonitkt,2822567,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2007,123,,"77,3",,"103,7",,"99,4",,1,
Koreliitkt,2822544,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2007,126,,"83,9",,"104,6",,"100,3",,1,
AO07102itkt,2822547,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,treated,2007,126,,"79,7",,"108,5",,104,,1,
AO07116itkt,2822568,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,treated,2007,126,,"77,5",,"96,9",,"92,9",,1,
RE06048itkt,2822530,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2007,122,,"78,6",,"95,1",,"91,2",,2,
CF06107itkt,2822541,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,treated,2007,131,,"78,8",,"98,6",,"94,5",,1,
Mendelitkt,2822550,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2007,122,,"74,6",,"101,5",,"97,3",,1,
CF06153itkt,2822570,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,VIRTUAL_TRIAL,,,,,,,,treated,2007,133,,"76,8",,"97,2",,"93,2",,1,
EM06064itkt,2822556,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,VIRTUAL_TRIAL,,,,,,,,treated,2007,130,,"81,8",,"99,3",,"95,2",,1,
RE06057itkt,2822540,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,VIRTUAL_TRIAL,,,,,,,,treated,2007,120,,"74,4",,"95,1",,"91,2",,1,
RE06008itkt,2822560,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,VIRTUAL_TRIAL,,,,,,,,treated,2007,129,,"75,6",,"98,6",,"94,6",,1,
AO07127itkt,2822548,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2007,118,,"80,4",,"94,3",,"90,4",,1,
RE06025itkt,2822559,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,VIRTUAL_TRIAL,,,,,,,,treated,2007,125,,"78,6",,"88,3",,"84,7",,1,
DI07001itkt,2822533,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,treated,2007,119,,"76,7",,"102,7",,"98,4",,1,
EM06017itkt,2822531,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2007,122,,"81,8",,"102,4",,"98,2",,1,
EM06035itkt,2822569,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,VIRTUAL_TRIAL,,,,,,,,treated,2007,125,,"81,2",,"99,7",,"95,6",,1,
RE06058itkt,2822552,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,treated,2007,131,,"75,5",,"102,5",,"98,3",,1,
EM06029itkt,2822551,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,VIRTUAL_TRIAL,,,,,,,,treated,2007,128,,"77,6",,"98,3",,"94,2",,1,
DI07003itkt,2822534,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48427,gnpis_pui:holding-921_taxon-4898_accession-48427,DI07003,VIRTUAL_TRIAL,,,,,,,,treated,2007,125,,"78,3",,"93,3",,"89,4",,1,
CF06013itkt,2822564,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,VIRTUAL_TRIAL,,,,,,,,treated,2007,119,,"79,5",,"96,4",,"92,4",,1,
CF06123itkt,2822549,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48854,gnpis_pui:holding-921_taxon-4898_accession-48854,CF06123,VIRTUAL_TRIAL,,,,,,,,treated,2007,128,,75,,"99,4",,"95,3",,1,
DI07006itkt,2822539,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,48856,gnpis_pui:holding-921_taxon-4898_accession-48856,DI07006,VIRTUAL_TRIAL,,,,,,,,treated,2007,127,,"74,1",,"89,7",,86,,1,
EM06062itkt,2822554,BTH_Clermont-Ferrand_2007_SetB1,BTH_Clermont-Ferrand_2007_SetB1,49687,gnpis_pui:holding-921_taxon-4898_accession-49687,EM06062,VIRTUAL_TRIAL,,,,,,,,treated,2007,129,,"80,8",,99,,"94,9",,1,
