observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2823440,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"39,08",,1,
2,2823523,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"76,1",,"87,8",,,
2,2823521,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"39,34",,"3,5",
1,2823520,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"44,91",,"1,5",
2,2823459,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,69,,"99,21",,,
1,2823458,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"69,3",,"97,19",,,
1,2823456,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"46,6",,"4,5",
1,2823464,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"57,42",,1,
1,2823414,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"69,9",,"85,2",,,
2,2823457,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,"43,27",,"3,5",
1,2823536,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"56,09",,1,
1,2823412,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,"56,23",,1,
