observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Mendelitknt,2823628,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,75,,"2,5",,124,,,,"112,6",,8,,"48,1",,2,,"1,5",
Koreliitknt,2823616,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"92,5",,1,,132,,,,"124,2",,"5,5",,53,,"4,5",,"2,5",
RE06055itkt,2823643,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,"135,5",,"72,3",,"96,5",,,,"84,4",,,,1,
RE06055itknt,2823642,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,90,,"1,5",,136,,,,"153,3",,3,,"65,5",,1,,1,
RE06023itkt,2823653,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,,,"132,5",,"72,4",,"97,6",,,,"85,4",,,,1,
RE06023itknt,2823652,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"87,5",,1,,"132,5",,,,122,,"4,5",,"52,1",,1,,6,
RE06050itknt,2823612,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,85,,"1,5",,"124,5",,,,"128,4",,8,,"54,8",,3,,1,
RE06050itkt,2823613,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,"125,5",,"70,4",,"111,9",,,,"97,9",,,,1,
CF06136itkt,2823671,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,,,"123,5",,"73,8",,"108,1",,,,"94,5",,,,1,
CF06136itknt,2823670,BTH_Orgeval_2007_SetB1,BTH_Orgeval_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"82,5",,2,,"122,5",,,,"126,4",,"4,5",,54,,5,,2,
