observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2824589,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,69",,"70,1",,"83,06",
2,2824491,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,72",,"74,6",,"95,62",
2,2824425,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,95",,"68,5",,"83,62",
2,2824573,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,69",,"70,3",,"68,75",
2,2824575,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,71",,"74,3",,"101,62",
1,2824574,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,29",,73,,"96,87",
1,2824572,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,49",,68,,"79,11",
2,2824527,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,88",,"69,8",,"99,48",
1,2824524,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"10,25",,"68,5",,"78,21",
1,2824526,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,35",,"68,9",,"101,53",
2,2824525,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,97",,"68,4",,"81,28",
1,2824472,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"10,41",,"74,7",,"78,69",
2,2824475,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,55",,"73,8",,"93,93",
1,2824474,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,34",,"76,8",,"96,78",
2,2824473,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,49",,"74,1",,"69,1",
2,2824543,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,39",,75,,"103,06",
1,2824542,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,49",,74,,"105,46",
2,2824541,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,52",,72,,"79,81",
1,2824540,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,45",,"71,7",,"75,79",
2,2824583,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,49",,"70,5",,"90,42",
1,2824582,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,19",,"69,4",,"92,4",
2,2824581,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,33",,"71,4",,"79,64",
1,2824580,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,4",,"70,2",,"76,21",
2,2824461,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,3",,"71,3",,"83,03",
1,2824462,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,46",,74,,"97,05",
2,2824463,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,7",,"74,6",,"95,49",
1,2824460,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,54",,"72,3",,"74,58",
1,2824506,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,98",,"68,2",,"95,46",
2,2824505,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,55",,"66,1",,"70,85",
1,2824504,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,84",,"65,7",,"70,43",
2,2824507,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,19",,"70,8",,"105,51",
1,2824442,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,69",,70,,"96,74",
1,2824440,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"10,01",,"68,7",,"72,59",
2,2824443,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,29",,"70,3",,"101,97",
2,2824441,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,47",,"69,9",,"72,56",
1,2824528,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,19",,"71,7",,"81,04",
2,2824531,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,33",,"71,7",,"106,86",
1,2824530,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,72",,"70,3",,"97,1",
2,2824529,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,9",,"70,8",,"83,57",
2,2824483,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,61",,"74,2",,"104,47",
1,2824482,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,17",,"73,8",,"103,5",
2,2824481,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,03",,"70,5",,"83,66",
1,2824480,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,99",,"71,1",,"74,91",
1,2824590,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,73",,"67,5",,"98,03",
2,2824591,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,48",,"67,7",,"97,08",
1,2824588,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,91",,"69,1",,"85,8",
1,2824560,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,57",,68,,"72,29",
2,2824563,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"9,77",,"70,7",,"89,12",
1,2824562,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,67",,"70,3",,"99,62",
2,2824561,BTH_Le_Moulon_2007_SetB2,BTH_Le_Moulon_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,02",,"68,4",,"77,65",
