observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2825229,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,"127,5",,116,,"3,5",,"74,5",,1,,1,
RE06068itkfi,2825248,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49628,gnpis_pui:holding-921_taxon-4898_accession-49628,RE06068,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,128,,126,,3,,"80,9",,1,,1,
RE06061itkfi,2825253,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,130,,"125,4",,2,,"80,6",,1,,1,
EM06089itkfi,2825227,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,"127,5",,"113,2",,"2,5",,"72,7",,1,,1,
DI07010itkfi,2825240,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"126,5",,"98,1",,3,,63,,1,,1,
RE06065itkfi,2825212,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49641,gnpis_pui:holding-921_taxon-4898_accession-49641,RE06065,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,129,,126,,3,,"80,9",,"4,5",,4,
AO07218itkfi,2825249,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,115,,122,,"110,2",,4,,"70,8",,1,,1,
CF06193itkfi,2825242,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,126,,"106,5",,2,,"68,4",,1,,1,
CF06200itkfi,2825235,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,123,,"125,5",,2,,"80,6",,1,,1,
RE06062itkfi,2825252,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49221,https://doi.org/10.15454/ORAOPN,RE06062,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,"126,5",,"124,6",,3,,80,,1,,1,
AO07302itkfi,2825224,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,124,,"107,8",,5,,"69,3",,1,,1,
AO07301itkfi,2825223,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,126,,"108,9",,"4,5",,"69,9",,1,,1,
Apacheitkfi,2825232,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,121,,"103,4",,5,,"66,4",,1,,1,
AO07311itkfi,2825246,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,122,,136,,4,,"87,4",,1,,2,
CF06167itkfi,2825230,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,48968,gnpis_pui:holding-921_taxon-4898_accession-48968,CF06167,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,"128,5",,"74,1",,6,,"47,6",,1,,1,
RE06083itkfi,2825237,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49633,gnpis_pui:holding-921_taxon-4898_accession-49633,RE06083,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,127,,"108,2",,"1,5",,"69,5",,1,,1,
EM06110itkfi,2825254,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"117,5",,"134,5",,3,,"86,4",,1,,1,
CF06166itkfi,2825231,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49254,gnpis_pui:holding-921_taxon-4898_accession-49254,CF06166,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,129,,"83,9",,"3,5",,"53,9",,1,,1,
CF06194itkfi,2825243,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,115,,130,,"97,8",,"4,5",,"62,8",,1,,1,
EM06094itkfi,2825247,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,127,,125,,"2,5",,"80,3",,1,,1,
RE06073itkfi,2825222,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49748,https://doi.org/10.15454/UUJTP5,RE06073,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,"128,5",,"118,7",,"2,5",,"76,3",,1,,2,
EM06072itkfi,2825215,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,48553,gnpis_pui:holding-921_taxon-4898_accession-48553,EM06072,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,126,,"102,8",,4,,66,,1,,1,
AO07319itkfi,2825251,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,49264,gnpis_pui:holding-921_taxon-4898_accession-49264,AO07319,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,"129,5",,"107,1",,3,,"68,8",,1,,1,
CF06183itkfi,2825220,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,48740,gnpis_pui:holding-921_taxon-4898_accession-48740,CF06183,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,110,,"127,5",,113,,3,,"72,6",,1,,1,
Mendelitkfi,2825233,BTH_Rennes_2007_SetB2,BTH_Rennes_2007_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,122,,"98,2",,6,,"63,1",,1,,1,
