observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI07019itkfi,2825790,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,2,,"132,5",,"12,02",,"68,1",,"117,2",,1,,"68,2",,1,,2,,8,
CF06294itkt,2825813,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48834,gnpis_pui:holding-921_taxon-4898_accession-48834,CF06294,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,1,,128,,"12,71",,"67,4",,"84,1",,"1,5",,"61,3",,,,5,,"6,5",
DI07019itkt,2825791,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,"3,5",,133,,"11,42",,"66,4",,"104,5",,1,,"76,3",,,,2,,7,
Koreliitkfi,2825760,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,1,,"130,5",,"12,62",,"71,9",,"104,9",,"3,5",,61,,1,,"4,5",,5,
CF06294itkfi,2825812,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,48834,gnpis_pui:holding-921_taxon-4898_accession-48834,CF06294,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,1,,126,,"13,2",,"68,2",,"91,5",,8,,"53,2",,1,,"3,5",,"4,5",
CF06235itkt,2825819,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49598,gnpis_pui:holding-921_taxon-4898_accession-49598,CF06235,VIRTUAL_TRIAL,,,,,,,,treated,2007,100,,1,,135,,"13,38",,68,,"74,8",,1,,"54,6",,,,2,,8,
CF06235itkfi,2825818,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49598,gnpis_pui:holding-921_taxon-4898_accession-49598,CF06235,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,1,,134,,"12,95",,"64,7",,"81,4",,2,,"47,4",,1,,"3,5",,"7,5",
Koreliitkt,2825761,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2007,100,,1,,133,,"12,57",,"75,1",,"101,9",,"1,5",,"74,3",,,,"3,5",,5,
RE06139itkt,2825759,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49134,https://doi.org/10.15454/CCJCNN,RE06139,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,1,,128,,"13,54",,"67,3",,"94,7",,1,,"69,1",,,,2,,"7,5",
Apacheitkfi,2825768,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,1,,125,,"11,6",,"72,3",,"100,2",,8,,"58,3",,1,,1,,4,
RE06140itkt,2825793,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,1,,"132,5",,"13,32",,"73,4",,"100,9",,1,,"73,6",,,,2,,"6,5",
RE06139itkfi,2825758,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49134,https://doi.org/10.15454/CCJCNN,RE06139,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,1,,"127,5",,"12,52",,"69,8",,"112,9",,1,,"65,7",,"2,5",,3,,"7,5",
EM06305itkfi,2825754,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49088,gnpis_pui:holding-921_taxon-4898_accession-49088,EM06305,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,1,,"126,5",,"12,51",,"70,8",,"95,7",,8,,"55,7",,1,,1,,"4,5",
RE06097itkfi,2825740,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,1,,128,,"12,18",,"76,1",,"124,9",,1,,"72,7",,1,,"2,5",,"7,5",
RE06140itkfi,2825792,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,1,,131,,"12,75",,"77,7",,"119,7",,1,,"69,6",,1,,2,,6,
AO07803itkt,2825785,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,treated,2007,100,,"1,5",,133,,"12,6",,"76,2",,"101,2",,1,,"73,9",,,,3,,7,
Apacheitkt,2825769,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,1,,128,,"13,03",,"71,8",,"95,2",,2,,"69,5",,,,4,,3,
AO07803itkfi,2825784,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"107,5",,1,,131,,"12,76",,"76,2",,"125,5",,1,,73,,1,,4,,7,
EM06305itkt,2825755,BTH_Estrées-Mons_2007_SetB3,BTH_Estrées-Mons_2007_SetB3,49088,gnpis_pui:holding-921_taxon-4898_accession-49088,EM06305,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,1,,126,,"12,88",,"73,3",,"106,8",,2,,"77,9",,,,3,,"4,5",
