observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI07019itkt,2826055,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,127,,"10,2",,"69,2",,"106,2",,,,"105,8",,,,1,
CF06235itkt,2826083,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49598,gnpis_pui:holding-921_taxon-4898_accession-49598,CF06235,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,133,,"10,28",,"75,7",,"98,5",,,,"98,1",,,,1,
CF06235itkfi,2826082,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49598,gnpis_pui:holding-921_taxon-4898_accession-49598,CF06235,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,"130,5",,"9,61",,"74,4",,"101,3",,1,,"76,5",,1,,1,
DI07019itkfi,2826054,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,126,,"9,4",,"70,6",,"107,7",,1,,"81,3",,1,,1,
CF06230itkfi,2826084,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,129,,"8,93",,"75,8",,"107,3",,1,,81,,1,,1,
Koreliitkt,2826025,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,130,,"10,74",,"75,8",,"107,6",,,,"107,2",,,,1,
Koreliitkfi,2826024,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,128,,"10,11",,"76,2",,"101,7",,"2,5",,"76,7",,2,,1,
RE06106itkfi,2826070,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48380,gnpis_pui:holding-921_taxon-4898_accession-48380,RE06106,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"119,5",,"11,22",,"67,6",,106,,2,,80,,1,,1,
CF06294itkfi,2826076,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48834,gnpis_pui:holding-921_taxon-4898_accession-48834,CF06294,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,122,,"10,46",,"70,4",,"93,6",,4,,"70,7",,1,,"3,5",
EM06195itkfi,2826072,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48434,gnpis_pui:holding-921_taxon-4898_accession-48434,EM06195,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"124,5",,"10,7",,"73,2",,"96,1",,"1,5",,"72,5",,1,,"2,5",
RE06140itkfi,2826056,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"97,5",,124,,"10,74",,69,,"103,4",,1,,"78,1",,1,,1,
RE06139itkfi,2826022,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49134,https://doi.org/10.15454/CCJCNN,RE06139,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,124,,"10,58",,"66,8",,"102,1",,1,,"77,1",,2,,"3,5",
CF06294itkt,2826077,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,48834,gnpis_pui:holding-921_taxon-4898_accession-48834,CF06294,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,"123,5",,"11,6",,71,,"105,8",,,,"105,4",,,,1,
RE06140itkt,2826057,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"124,5",,"11,24",,"69,4",,"94,3",,,,94,,,,1,
Apacheitkfi,2826032,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,"122,5",,"8,92",,72,,"97,8",,"5,5",,"73,8",,1,,1,
RE06139itkt,2826023,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49134,https://doi.org/10.15454/CCJCNN,RE06139,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,"124,5",,"11,14",,"69,6",,"91,5",,,,"91,2",,,,"1,5",
AO07803itkt,2826049,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,129,,"11,14",,"74,8",,"111,4",,,,111,,,,2,
Apacheitkt,2826033,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,123,,"9,86",,"73,9",,101,,,,"100,7",,,,1,
EM06305itkfi,2826018,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49088,gnpis_pui:holding-921_taxon-4898_accession-49088,EM06305,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,122,,"9,22",,"75,9",,"106,1",,"3,5",,"80,1",,1,,1,
