observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF06277itkfi,2826222,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,138,,"80,1",,8,,"36,6",,1,
DI07019itkfi,2826205,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,132,,"137,6",,"1,5",,"62,9",,1,
Koreliitkfi,2826190,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,134,,"114,3",,"5,8",,"52,2",,1,
RE06140itkfi,2826206,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"129,5",,"125,5",,1,,"57,3",,1,
AO07803itkfi,2826202,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"131,5",,"126,3",,"6,5",,"57,7",,1,
DI07016itkfi,2826197,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,137,,"111,4",,2,,"50,9",,1,
DI07021itkfi,2826182,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,133,,"106,1",,6,,"48,5",,1,
AO07438itkfi,2826208,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"133,5",,"103,6",,"7,5",,"47,3",,1,
AO07403itkfi,2826181,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,127,,"108,7",,8,,"49,7",,1,
RE06134itkfi,2826184,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,75,,122,,"124,9",,"7,5",,"57,1",,1,
RE06127itkfi,2826210,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,122,,"130,2",,"6,5",,"59,5",,1,
RE06109itkfi,2826207,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49314,gnpis_pui:holding-921_taxon-4898_accession-49314,RE06109,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"133,5",,"104,8",,"5,5",,"47,9",,1,
