observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI06007itkt,2827169,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2008,148,,"13,6",,"79,8",,"94,7",,"68,4",,NA,
Hendrixitkt,2827131,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"14,7",,82,,"84,3",,"60,9",,NA,
Mendelitkt,2827147,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,145,,"12,8",,"78,7",,"98,3",,71,,NA,
Koreliitkt,2827141,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,149,,"12,2",,"83,4",,"118,3",,"85,5",,NA,
Folkloritkt,2827135,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,149,,13,,"78,2",,"104,6",,"75,6",,NA,
AO07102itkt,2827143,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"12,9",,"79,1",,"95,8",,"69,2",,NA,
CF05162itkt,2827140,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"12,7",,"81,1",,"106,6",,77,,NA,
RE05108itkt,2827158,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,treated,2008,148,,"13,6",,80,,"89,5",,"64,7",,NA,
CF03201itkt,2827151,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2008,147,,"13,9",,"80,9",,"93,6",,"67,6",,NA,
EM05230itkt,2827168,BTH_Champagne-céréales_2008_SetA1,BTH_Champagne-céréales_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,treated,2008,151,,"12,3",,"79,5",,"100,6",,"72,7",,NA,
