observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2829833,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,5933752",,"88,91",,"4,5",
2,2829773,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"9,9324188",,"89,32",,"1,5",
2,2829771,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,6431217",,"72,37",,1,
2,2829715,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,4784851",,"74,96",,"1,5",
1,2829714,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,4903717",,"74,2",,1,
1,2829716,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"10,3266058",,"88,04",,1,
2,2829717,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,7296591",,"81,15",,2,
2,2829755,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,3013287",,"69,14",,1,
1,2829754,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,8456945",,"65,77",,1,
2,2829757,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,0811882",,"82,28",,1,
1,2829756,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,7279015",,"80,45",,1,
1,2829808,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,50665",,"76,9",,1,
1,2829806,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,3153267",,"75,42",,1,
2,2829809,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,9663057",,"76,16",,9,
2,2829807,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,9911518",,"69,31",,2,
2,2829785,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,9058142",,"88,26",,1,
2,2829783,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,6297903",,"75,96",,1,
1,2829784,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"10,8596287",,"91,58",,1,
1,2829782,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,0528584",,"78,57",,1,
1,2829728,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,4225082",,"83,06",,1,
2,2829729,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,3315907",,"81,54",,"2,5",
1,2829726,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,5355997",,"67,17",,1,
2,2829727,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,8572798",,"67,49",,1,
1,2829828,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,4660072",,"87,79",,1,
2,2829829,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,1247358",,"86,42",,3,
2,2829827,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,0016718",,"72,77",,1,
1,2829826,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,195529",,"76,04",,1,
1,2829708,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"10,7016735",,"91,26",,1,
2,2829707,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,0137672",,"73,72",,1,
2,2829709,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,5948753",,"86,04",,1,
1,2829706,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,5620375",,"72,15",,1,
2,2829739,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,1764593",,"72,98",,1,
1,2829740,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,3638544",,"83,94",,1,
1,2829738,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,3672981",,"75,79",,1,
2,2829741,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,5049992",,"86,12",,1,
1,2829820,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"10,8039932",,"64,34",,4,
2,2829821,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,8758984",,"75,05",,6,
2,2829819,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,5733528",,"71,55",,2,
1,2829818,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"14,8671951",,"75,78",,"1,5",
2,2829695,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,5431356",,"82,1",,1,
1,2829694,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,2569752",,"80,2",,1,
1,2829696,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,215497",,"99,42",,1,
2,2829697,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,8122959",,"97,28",,1,
1,2829764,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,0010633",,"94,31",,1,
2,2829763,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,532279",,"78,35",,1,
1,2829762,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,825243",,"81,47",,1,
2,2829765,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,569416",,"92,89",,2,
2,2829689,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,2598181",,"88,59",,"2,5",
1,2829686,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,6307859",,"73,86",,1,
1,2829688,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"10,9207325",,"92,96",,1,
2,2829687,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,6891556",,"69,12",,1,
2,2829721,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,0814943",,"75,73",,"3,5",
1,2829720,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,5676184",,"73,36",,1,
1,2829718,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,495842",,"66,95",,1,
2,2829719,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,1653328",,"57,4",,1,
2,2829835,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,5719013",,"75,73",,1,
2,2829837,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,0065565",,"86,41",,"4,5",
1,2829834,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,9380436",,"77,99",,1,
1,2829836,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,3363104",,"84,59",,1,
