observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2830791,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,66",,"63,33",,"6,5",,1,
2,2830677,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,71",,"84,6",,,,"6,5",
1,2830674,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,47",,"73,99",,3,,1,
2,2830675,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,88",,"72,83",,"3,5",,1,
1,2830676,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27838,https://doi.org/10.15454/0CP8RW,EM06307,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,81",,"82,73",,,,4,
1,2830716,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,05",,"77,65",,,,1,
1,2830714,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,48",,"60,89",,3,,1,
2,2830717,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,38",,"71,3",,,,1,
2,2830715,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27842,https://doi.org/10.15454/CW6MPE,DI07015,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,9",,"60,42",,"3,5",,1,
2,2830769,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"14,26",,"69,67",,,,8,
2,2830767,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,85",,"67,32",,"3,5",,5,
1,2830768,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,09",,"76,1",,,,6,
1,2830766,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,75",,"67,25",,2,,1,
1,2830742,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,29",,"71,83",,2,,1,
2,2830745,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,4",,"92,57",,,,"5,5",
1,2830744,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,19",,"89,85",,,,"3,5",
2,2830743,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,54",,"76,64",,3,,1,
2,2830689,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,61",,"79,4",,,,4,
1,2830686,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,97",,"61,88",,2,,1,
2,2830687,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,45",,"61,57",,3,,1,
1,2830688,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,35",,"75,78",,,,1,
2,2830787,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,37",,"59,88",,5,,1,
1,2830786,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,22",,"62,36",,3,,1,
2,2830789,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,82",,"91,38",,,,5,
1,2830788,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,26",,"82,52",,,,1,
2,2830669,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,83",,"77,91",,,,1,
2,2830667,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,06",,"64,66",,"3,8",,1,
