observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2832371,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"83,16",,1,,"1,5",,5,
2,2832391,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"92,25",,1,,"3,5",,1,
2,2832393,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"107,29",,,,,,1,
1,2832390,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"86,23",,1,,2,,1,
1,2832396,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49619,gnpis_pui:holding-921_taxon-4898_accession-49619,RE07017,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"97,35",,,,,,"6,5",
1,2832366,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"77,01",,1,,1,,8,
1,2832368,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"92,37",,,,,,7,
2,2832369,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"100,73",,,,,,5,
2,2832367,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"77,27",,"1,5",,1,,"7,5",
2,2832421,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"113,79",,,,,,1,
1,2832420,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"110,38",,,,,,1,
1,2832418,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"66,71",,1,,2,,1,
2,2832419,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"72,19",,1,,5,,2,
2,2832497,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"122,35",,,,,,"1,5",
2,2832495,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"84,76",,1,,1,,"5,5",
1,2832494,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"104,14",,1,,1,,5,
1,2832496,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"126,92",,,,,,"1,5",
1,2832442,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"60,56",,1,,2,,1,
2,2832445,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"100,66",,,,,,"1,5",
1,2832444,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"97,57",,,,,,2,
2,2832443,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"67,38",,1,,"4,5",,1,
2,2832433,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"113,53",,,,,,3,
2,2832431,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"93,18",,1,,3,,"2,5",
1,2832432,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"113,66",,,,,,2,
1,2832430,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"85,16",,1,,2,,1,
1,2832436,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"114,72",,,,,,"1,5",
2,2832435,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"81,95",,1,,3,,1,
2,2832437,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"113,12",,,,,,1,
1,2832434,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"87,57",,1,,"2,5",,1,
1,2832408,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"123,7",,,,,,1,
2,2832409,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"112,47",,,,,,1,
2,2832407,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"68,18",,7,,1,,1,
1,2832406,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"60,43",,"5,5",,1,,1,
1,2832402,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"115,91",,1,,1,,"1,5",
2,2832405,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"127,06",,,,,,1,
1,2832404,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"130,1",,,,,,1,
2,2832403,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"119,39",,1,,1,,5,
1,2832440,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"107,99",,,,,,"1,5",
1,2832438,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"81,42",,1,,3,,1,
2,2832441,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"110,51",,,,,,2,
2,2832439,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"84,22",,1,,"4,5",,2,
2,2832453,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"94,97",,,,,,"2,5",
1,2832452,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"93,22",,,,,,"3,5",
1,2832450,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"83,56",,1,,3,,"4,5",
2,2832451,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"79,95",,1,,4,,5,
2,2832387,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"84,63",,1,,3,,1,
