observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Koreliitkt,2832824,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,137,,"77,9",,"102,7",,"88,8",
CF07143itkt,2832837,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,137,,"78,5",,"112,1",,"96,9",
RE07045itkt,2832840,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,138,,"71,1",,"90,2",,"78,1",
RE07083itkt,2832844,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,132,,"76,9",,"101,5",,"87,8",
RE07075itkt,2832843,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49516,gnpis_pui:holding-921_taxon-4898_accession-49516,RE07075,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,131,,"71,4",,"89,4",,"77,3",
CF07097itkt,2832823,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"73,9",,"104,7",,"90,6",
AO08337itkt,2832817,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,130,,"74,1",,"91,3",,79,
DI08009itkt,2832835,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48494,gnpis_pui:holding-921_taxon-4898_accession-48494,DI08009,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,138,,"69,4",,"92,4",,"79,9",
DI08011itkt,2832814,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,"73,7",,"103,5",,"89,5",
RE07040itkt,2832818,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,136,,"73,8",,"94,4",,"81,6",
CF07141itkt,2832838,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,133,,78,,"109,8",,"94,9",
Premioitkt,2832810,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,134,,"76,8",,"106,6",,"92,2",
EM07246itkt,2832811,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48496,gnpis_pui:holding-921_taxon-4898_accession-48496,EM07246,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,131,,"71,9",,"93,3",,"80,7",
Sankaraitkt,2832830,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,138,,"73,7",,"93,7",,"81,1",
RE07028itkt,2832833,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48952,gnpis_pui:holding-921_taxon-4898_accession-48952,RE07028,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,135,,73,,"85,9",,"74,3",
RE07047itkt,2832839,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49013,gnpis_pui:holding-921_taxon-4898_accession-49013,RE07047,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,137,,65,,"91,2",,"78,8",
DI08010itkt,2832815,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48734,gnpis_pui:holding-921_taxon-4898_accession-48734,DI08010,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,134,,"67,3",,"90,4",,"78,2",
AO08511itkt,2832832,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48515,gnpis_pui:holding-921_taxon-4898_accession-48515,AO08511,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,132,,74,,"103,3",,"89,3",
RE07036itkt,2832821,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48462,gnpis_pui:holding-921_taxon-4898_accession-48462,RE07036,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,"75,2",,"91,4",,79,
Mendelitkt,2832827,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,"68,7",,"95,3",,"82,5",
CF07138itkt,2832829,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49475,gnpis_pui:holding-921_taxon-4898_accession-49475,CF07138,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,136,,"73,4",,98,,"84,8",
RE07071itkt,2832812,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49005,gnpis_pui:holding-921_taxon-4898_accession-49005,RE07071,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,134,,71,,"85,1",,"73,6",
EM07213itkt,2832825,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48541,gnpis_pui:holding-921_taxon-4898_accession-48541,EM07213,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,131,,"72,2",,"93,8",,"81,1",
RE07087itkt,2832846,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49201,gnpis_pui:holding-921_taxon-4898_accession-49201,RE07087,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,138,,"75,2",,"98,3",,85,
Musikitkt,2832819,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,"73,4",,"102,9",,89,
RE07082itkt,2832845,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48501,gnpis_pui:holding-921_taxon-4898_accession-48501,RE07082,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,132,,76,,"96,6",,"83,5",
AO08514itkt,2832847,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49416,gnpis_pui:holding-921_taxon-4898_accession-49416,AO08514,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,130,,"80,2",,"98,6",,"85,3",
RE07027itkt,2832836,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,138,,"75,7",,"87,5",,"75,6",
Caphornitkt,2832831,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,134,,"71,4",,"100,2",,"86,7",
RE07038itkt,2832841,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48821,gnpis_pui:holding-921_taxon-4898_accession-48821,RE07038,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,135,,"67,6",,"97,8",,"84,6",
CF07193itkt,2832822,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,138,,"74,9",,"98,1",,"84,8",
DI08008itkt,2832834,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,137,,"67,5",,"95,5",,"82,6",
CF07098itkt,2832820,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,136,,"75,7",,"96,9",,"83,8",
EM07219itkt,2832828,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49294,gnpis_pui:holding-921_taxon-4898_accession-49294,EM07219,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,131,,"71,8",,"101,2",,"87,6",
CF07080itkt,2832842,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,48671,gnpis_pui:holding-921_taxon-4898_accession-48671,CF07080,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,135,,"67,4",,"103,7",,"89,7",
DI08012itkt,2832813,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49381,gnpis_pui:holding-921_taxon-4898_accession-49381,DI08012,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,"74,1",,"104,9",,"90,8",
Apacheitkt,2832826,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,132,,"77,5",,"110,8",,"95,8",
DI08014itkt,2832816,BTH_Clermont-Ferrand_2008_SetB2,BTH_Clermont-Ferrand_2008_SetB2,49513,gnpis_pui:holding-921_taxon-4898_accession-49513,DI08014,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,136,,"71,9",,"87,5",,"75,7",
