observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Koreli,2835027,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2008,6,,2,,3,
RE07114,2835020,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,2008,9,,1,,1,
RE07093,2835034,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,2008,7,,2,,1,
RE07115,2835015,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,48742,gnpis_pui:holding-921_taxon-4898_accession-48742,RE07115,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",,1,,1,
AO08515,2835046,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,49033,gnpis_pui:holding-921_taxon-4898_accession-49033,AO08515,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,3,
CF07292,2835019,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,48492,gnpis_pui:holding-921_taxon-4898_accession-48492,CF07292,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,1,,1,
DI08017,2835016,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,48701,gnpis_pui:holding-921_taxon-4898_accession-48701,DI08017,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,3,
DI08018,2835021,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,49132,gnpis_pui:holding-921_taxon-4898_accession-49132,DI08018,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,1,,4,
RE07098,2835028,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,49623,gnpis_pui:holding-921_taxon-4898_accession-49623,RE07098,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,1,
DI08015,2835018,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,49358,gnpis_pui:holding-921_taxon-4898_accession-49358,DI08015,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,1,,3,
Apache,2835031,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,1,,1,
CF07296,2835022,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,49527,gnpis_pui:holding-921_taxon-4898_accession-49527,CF07296,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,1,,1,
RE07092,2835033,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,49499,gnpis_pui:holding-921_taxon-4898_accession-49499,RE07092,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,1,
Sankara,2835038,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,1,
Toisondor,2835014,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,3,
Lyrik,2835050,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
Caphorn,2835039,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,1,,2,
CF07311,2835017,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,1,,1,
RE07095,2835036,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,2008,7,,2,,1,
CF06199,2835041,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,48761,gnpis_pui:holding-921_taxon-4898_accession-48761,CF06199,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,1,,1,
RE07089,2835049,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,2008,3,,1,,1,
Mendel,2835032,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
CF07259,2835030,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,48398,gnpis_pui:holding-921_taxon-4898_accession-48398,CF07259,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,1,
AO08817,2835040,BTH_Rennes_2008_SetB3_PIETIN-VERSE,BTH_Rennes_2008_SetB3_PIETIN-VERSE,48597,gnpis_pui:holding-921_taxon-4898_accession-48597,AO08817,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
