observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08011itkfi,2835470,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"60,75",,,,"89,63",,,,"250,38",,,,,,,,32,,445,,"12,4",,"75,8",,,,1850,,,
DI08011itkt,2835471,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
HadmF276itkt,2835391,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
HadmF276itkfi,2835390,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
RE07004itkfi,2835446,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,44,,,,"88,13",,,,"232,13",,,,,,,,54,,472,,"13,9",,"76,6",,,,1650,,,
RE07004itkt,2835447,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
Barokitkt,2835387,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,4",,84,,91,,,,53,,,,99,,,,243,,,,95,,"1,13",,238,,72,,430,,"13,7",,"76,9",,1505,,,,45,
Barokitkfi,2835386,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
RE07083itkt,2835487,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
RE07083itkfi,2835486,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"24,5",,,,"78,5",,,,203,,,,,,,,22,,366,,"12,9",,"75,1",,,,1250,,,
RE07025itkfi,2835448,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"38,6",,,,"73,5",,,,"212,1",,,,,,,,66,,392,,"14,1",,"77,3",,,,1620,,,
RE07025itkt,2835449,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF07097itkt,2835421,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF07097itkfi,2835420,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"46,5",,,,"85,88",,,,"232,38",,,,,,,,18,,348,,"12,3",,"76,8",,,,1450,,,
CF05173itkt,2835457,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF05173itkfi,2835456,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
CF05079itkt,2835443,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF05079itkfi,2835442,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
CF07008itkfi,2835494,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"54,75",,,,"87,5",,,,"242,25",,,,,,,,42,,334,,13,,"77,8",,,,1650,,,
CF07008itkt,2835495,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
AO08112itkfi,2835416,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"55,5",,,,"85,5",,,,241,,,,,,,,50,,375,,"12,4",,"70,9",,,,1600,,,
AO08112itkt,2835417,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF06136itkt,2835493,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF06136itkfi,2835492,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
CF07002itkfi,2835484,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,97,,,,"65,7",,,,"98,5",,,,"261,2",,,,,,,,68,,364,,"12,9",,"79,1",,,,1790,,,
CF07002itkt,2835485,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF05162itkt,2835423,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF05162itkfi,2835422,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
AO07210itkt,2835407,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
AO07210itkfi,2835406,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
CF07021itkfi,2835476,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"51,38",,,,"85,88",,,,"237,26",,,,,,,,15,,421,,"11,7",,"77,6",,,,1800,,,
CF07021itkt,2835477,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
AO07302itkfi,2835466,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
AO07302itkt,2835467,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
AO08107itkfi,2835462,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,97,,,,"50,25",,,,"88,88",,,,"236,13",,,,,,,,51,,398,,"12,5",,"70,6",,,,1500,,,
AO08107itkt,2835463,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF07018itkt,2835435,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,
CF07018itkfi,2835434,BTH_Lusignan_2008_TECH,BTH_Lusignan_2008_TECH,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,,,,,100,,,,"39,5",,,,"92,5",,,,232,,,,,,,,53,,416,,"13,1",,"79,4",,,,1600,,,
