observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08011itkt,2835538,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
HadmF276itkt,2835498,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07004itkt,2835526,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Barokitkt,2835496,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2008,"22,6",,104,,96,,44,,67,,207,,63,,"0,59",,166,,60,,430,,"12,2",,"77,4",,1545,,35,
RE07083itkt,2835546,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07025itkt,2835527,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07097itkt,2835513,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF05173itkt,2835531,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF05079itkt,2835524,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07008itkt,2835550,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO08112itkt,2835511,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF06136itkt,2835549,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07002itkt,2835545,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF05162itkt,2835514,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO07210itkt,2835506,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07021itkt,2835541,BTH_Orgeval_2008_TECH,BTH_Orgeval_2008_TECH,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
