observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2836145,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"12,58",,"2,5",,"39,41",
1,2836219,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"12,99",,,,"71,71",
2,2836220,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"13,38",,,,"85,16",
1,2836217,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"12,18",,"2,5",,52,
2,2836218,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"11,6",,3,,"50,05",
1,2836169,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"10,44",,"3,5",,"52,65",
2,2836172,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"12,39",,,,"92,17",
1,2836171,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"11,67",,,,"76,45",
2,2836170,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"10,47",,"5,5",,"59,9",
2,2836106,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"9,49",,"1,5",,"63,97",
