observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Ressoritkt,2762236,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,139,,"11,7",,105,,,,97,,"2,5",
Ressoritkfi,2762235,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,2,,138,,12,,"96,8",,1,,"88,2",,,
EM99012itkt,2762266,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2000,95,,,,143,,"12,5",,"101,5",,,,"93,8",,1,
Isengrainitkt,2762254,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,,,135,,11,,"110,2",,,,"101,8",,1,
CF99007itkfi,2762245,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,28758,https://doi.org/10.15454/XSWWAH,CF99007,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,5,,136,,"10,9",,"98,5",,8,,"89,7",,,
EM99027itkt,2762204,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26866,https://doi.org/10.15454/OANUO1,EM99027,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,,,134,,"12,4",,"98,2",,,,"90,7",,7,
CF99005itkfi,2762243,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,90,,3,,134,,"11,9",,"104,5",,4,,"95,2",,,
CF99005itkt,2762244,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,134,,"12,3",,"108,1",,,,"99,9",,"4,5",
EM99012itkfi,2762265,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,95,,6,,142,,"12,1",,"99,8",,3,,"90,9",,,
EM99001itkt,2762228,BTH_Clermont-Ferrand_2000_SetA,BTH_Clermont-Ferrand_2000_SetA,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,,,142,,"13,4",,107,,,,"98,8",,1,
