observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF08046,2841399,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61180,https://doi.org/10.15454/VI9G7X,CF08046,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,1,
CF08057,2841374,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61224,https://doi.org/10.15454/DSRGNF,CF08057,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
DI09001,2841391,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61445,https://doi.org/10.15454/KZBXKW,DI09001,VIRTUAL_TRIAL,,,,,,,,2009,6,,1,
DI09002,2841376,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61464,https://doi.org/10.15454/CQE46W,DI09002,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,4,
DI09003,2841375,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61481,https://doi.org/10.15454/RV2BAB,DI09003,VIRTUAL_TRIAL,,,,,,,,2009,3,,1,
RE08009,2841396,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,62099,https://doi.org/10.15454/OQXFMF,RE08009,VIRTUAL_TRIAL,,,,,,,,2009,6,,1,
RE08003,2841394,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,62068,https://doi.org/10.15454/JFPOJQ,RE08003,VIRTUAL_TRIAL,,,,,,,,2009,5,,1,
RE08016,2841401,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,62115,https://doi.org/10.15454/Z6L9UC,RE08016,VIRTUAL_TRIAL,,,,,,,,2009,4,,1,
RE08024,2841367,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,62156,https://doi.org/10.15454/JZPGYG,RE08024,VIRTUAL_TRIAL,,,,,,,,2009,6,,1,
RE08023,2841390,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,62142,https://doi.org/10.15454/DQ0CM1,RE08023,VIRTUAL_TRIAL,,,,,,,,2009,"6,5",,1,
RE08018,2841368,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,62130,https://doi.org/10.15454/8V9KEO,RE08018,VIRTUAL_TRIAL,,,,,,,,2009,"6,5",,1,
EM08080,2841372,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61868,https://doi.org/10.15454/J7YM4E,EM08080,VIRTUAL_TRIAL,,,,,,,,2009,3,,1,
EM08026,2841369,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61851,https://doi.org/10.15454/LDLPMS,EM08026,VIRTUAL_TRIAL,,,,,,,,2009,5,,3,
DI09008,2841389,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61571,https://doi.org/10.15454/UJ9SJR,DI09008,VIRTUAL_TRIAL,,,,,,,,2009,5,,1,
DI09007,2841378,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61541,https://doi.org/10.15454/EEIIP8,DI09007,VIRTUAL_TRIAL,,,,,,,,2009,4,,1,
CF08031,2841377,BTH_Rennes_2009_SetB1_PIETIN-VERSE,BTH_Rennes_2009_SetB1_PIETIN-VERSE,61166,https://doi.org/10.15454/6UH9IO,CF08031,VIRTUAL_TRIAL,,,,,,,,2009,5,,5,
