observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM08237itkfi,2843938,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61990,https://doi.org/10.15454/C00LHY,EM08237,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,139,,"71,2",,"89,5",,"69,3",,1,,1,
EM08234itkfi,2843939,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61974,https://doi.org/10.15454/ENEA7S,EM08234,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,84,,140,,"64,9",,"98,3",,"76,2",,1,,6,
AO09022itkfi,2843914,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61092,https://doi.org/10.15454/JMOG5B,AO09022,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,138,,"71,1",,"86,7",,"67,1",,3,,2,
CF08130itkfi,2843918,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61351,https://doi.org/10.15454/7TGBWO,CF08130,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,138,,"72,8",,"102,3",,"79,3",,1,,1,
CF08134itkfi,2843921,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61368,https://doi.org/10.15454/WTGZL9,CF08134,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,115,,144,,"71,6",,"77,2",,"59,8",,1,,6,
RE08072itkfi,2843931,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61414,https://doi.org/10.15454/0GA5PF,RE08072,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,93,,140,,"73,1",,116,,"89,8",,1,,"2,5",
CF08159itkfi,2843928,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61411,https://doi.org/10.15454/07KNPI,CF08159,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,144,,72,,"93,2",,"72,2",,1,,1,
CF08168itkfi,2843947,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61429,https://doi.org/10.15454/FRA3PH,CF08168,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,137,,"69,8",,"90,8",,"70,3",,1,,6,
RE08080itkfi,2843912,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61618,https://doi.org/10.15454/4WAHXR,RE08080,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,96,,140,,"73,6",,"102,2",,"79,2",,1,,"3,5",
DI09021itkfi,2843919,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61760,https://doi.org/10.15454/GC5XFU,DI09021,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,140,,"67,8",,"79,5",,"61,6",,1,,5,
DI09020itkfi,2843934,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61743,https://doi.org/10.15454/UW5VA5,DI09020,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,141,,"66,5",,"77,8",,"60,2",,1,,"2,5",
DI09024itkfi,2843917,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61804,https://doi.org/10.15454/DAZZBT,DI09024,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,140,,"75,9",,"133,9",,"103,7",,1,,1,
RE08057itkfi,2843923,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61871,https://doi.org/10.15454/ZVHVUJ,RE08057,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,94,,140,,"75,2",,"104,3",,"80,8",,1,,"1,5",
EM08244itkfi,2843925,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,62006,https://doi.org/10.15454/0ISKHX,EM08244,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,144,,"68,5",,"93,6",,"72,5",,1,,1,
EM08278itkfi,2843945,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,62037,https://doi.org/10.15454/XLGZP1,EM08278,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,138,,"76,3",,"113,3",,"87,8",,1,,1,
DI09022itkfi,2843922,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61777,https://doi.org/10.15454/9JEREI,DI09022,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,141,,"71,9",,"90,2",,"69,9",,1,,1,
RE08065itkfi,2843913,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,62042,https://doi.org/10.15454/YJTB6N,RE08065,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,96,,140,,"71,7",,"93,1",,"72,2",,1,,1,
CF08129itkfi,2843942,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61335,https://doi.org/10.15454/GXWATY,CF08129,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,141,,"69,2",,"82,5",,"63,9",,1,,7,
DI09019itkfi,2843944,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,61729,https://doi.org/10.15454/IJIXOT,DI09019,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,144,,"73,4",,"103,5",,"80,2",,1,,1,
RE08068itkfi,2843941,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,60720,https://doi.org/10.15454/YRTV6F,RE08068,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,141,,"71,2",,"111,6",,"86,4",,1,,1,
CF08127itkfi,2843937,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,96,,144,,"73,8",,"96,5",,"74,8",,1,,1,
CF08139itkfi,2843924,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,102,,141,,"72,1",,"104,8",,"81,2",,1,,5,
DI09017itkfi,2843948,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,86,,140,,"67,6",,"94,6",,"73,3",,1,,4,
Premioitkfi,2843911,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,86,,137,,"70,6",,"112,8",,"87,4",,1,,1,
Apacheitkfi,2843927,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,137,,"71,4",,"88,7",,"68,7",,1,,1,
RE08067itkfi,2843940,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,62159,https://doi.org/10.15454/TASSTY,RE08067,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,99,,140,,"72,8",,"99,6",,"77,2",,1,,1,
Attlassitkfi,2843936,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,140,,"73,8",,"115,8",,"89,7",,1,,1,
Sankaraitkfi,2843929,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,92,,140,,72,,"101,6",,"78,7",,1,,1,
Toisondoritkfi,2843920,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,141,,"62,6",,"46,1",,"35,7",,7,,1,
AO09023itkfi,2843915,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,27902,https://doi.org/10.15454/2JQQDH,AO09023,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,137,,"67,2",,"106,5",,"82,5",,1,,1,
Caphornitkfi,2843930,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,140,,"69,1",,"96,9",,"75,1",,1,,1,
EM08277itkfi,2843933,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,143,,"73,9",,"113,5",,88,,1,,1,
CF08137itkfi,2843935,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,141,,72,,"100,4",,"77,8",,1,,1,
RE08066itkfi,2843926,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,48756,gnpis_pui:holding-921_taxon-4898_accession-48756,RE08066,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,99,,141,,"73,4",,103,,"79,8",,1,,1,
DI09018itkfi,2843943,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,143,,"70,2",,"97,7",,"75,7",,1,,1,
AO09021itkfi,2843916,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,48416,gnpis_pui:holding-921_taxon-4898_accession-48416,AO09021,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,84,,134,,"69,9",,"98,2",,"76,1",,1,,1,
DI09023itkfi,2843946,BTH_Rennes_2009_SetB3,BTH_Rennes_2009_SetB3,27904,https://doi.org/10.15454/ICRTTK,DI09023,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,96,,137,,"74,2",,"112,5",,"87,1",,1,,1,
