observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI08019-2itkt,2845200,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,142,,"77,9",,114,,,,"104,9",,,
Lyrikitknt,2845261,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,102,,,,78,,"117,6",,2,,"94,5",,3,
Folkloritkt,2845194,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,142,,"75,6",,"111,9",,,,103,,,
DI08019-2itknt,2845199,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,101,,,,"77,9",,"121,9",,4,,98,,3,
Folkloritknt,2845193,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,105,,,,74,,112,,NA,,"90,02",,4,
Lyrikitkt,2845262,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,142,,78,,"114,1",,,,105,,,
HadmF11383itkt,2845210,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,142,,"76,7",,"107,3",,,,"98,8",,,
AO10004itknt,2845235,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,98,,,,77,,"101,8",,3,,"81,8",,3,
RE07095itknt,2845227,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,98,,,,"75,2",,"95,1",,NA,,"76,42",,6,
HadmF11383itknt,2845209,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,98,,,,"75,4",,"103,4",,NA,,"83,11",,4,
DI08011itkt,2845198,BTH_Epi-centre_2010_SetA1,BTH_Epi-centre_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2010,,,139,,"74,5",,"109,1",,,,"100,5",,,
