observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Barokitkfi,2847505,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,151,,"10,86",,"84,1",,106,,"79,3",
Apacheitkfi,2847541,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,150,,"10,77",,"82,3",,"98,2",,"73,4",
CF08109itkt,2847600,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,153,,"10,52",,"80,3",,"95,9",,"97,7",
Attlassitknt,2847581,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,72,,154,,,,,,"106,7",,91,
EM08277itknt,2847605,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,68,,154,,,,,,"98,9",,"84,4",
Barokitkt,2847507,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,151,,"9,68",,"81,1",,"109,9",,"111,9",
CF08137itkt,2847531,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,153,,"10,56",,"77,2",,"89,4",,91,
Attlassitkfi,2847580,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,153,,"10,6",,"83,2",,"103,8",,"77,7",
CF08137itknt,2847530,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,62,,153,,,,,,"96,6",,"82,4",
CF08127itkt,2847585,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,154,,"10,32",,"80,7",,"89,8",,"91,4",
