observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Barok,2848417,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2010,5,,NA,,5,,3,,3,
CF08127,2848443,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,2010,3,,2,,2,,1,,1,
CF08139,2848418,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,2010,"3,5",,5,,5,,1,,1,
DI09015,2848445,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,2010,5,,5,,5,,1,,1,
DI09017,2848451,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,2010,6,,5,,5,,1,,1,
DI09004,2848432,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,2010,5,,5,,2,,1,,1,
AO09014,2848421,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,5,,NA,,7,
DI09006,2848430,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,2010,6,,5,,5,,1,,3,
RE08030,2848435,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,5,,5,,1,,1,
Premio,2848419,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,NA,,5,,1,,1,
