observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO10008itkt,2848742,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,92,,,,"49,3",,137,,"11,07",,83,,"102,1",,,,"112,2",,,,,,1,
Barokitknt,2848684,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,88,,1,,"49,3",,143,,,,"82,8",,"103,5",,1,,"106,1",,1,,"1,5",,1,
Barokitkt,2848685,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"42,7",,143,,"10,61",,"81,9",,104,,,,"114,3",,,,,,1,
CF08127itkt,2848763,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,treated,2010,90,,,,"45,9",,146,,"11,2",,"82,2",,"92,6",,,,"101,7",,,,,,1,
CF08127itknt,2848762,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,95,,1,,"45,7",,145,,,,"83,4",,"96,1",,1,,"98,5",,1,,3,,1,
CF08127itkfi,2848761,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,,,"48,8",,145,,"10,38",,"82,6",,"96,2",,1,,"84,9",,1,,,,1,
CF08139itkt,2848688,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,treated,2010,85,,,,"49,1",,145,,"10,14",,82,,"97,8",,,,"107,4",,,,,,1,
CF08139itknt,2848687,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,98,,1,,"50,1",,145,,,,"82,8",,101,,1,,"103,6",,1,,2,,1,
CF08139itkfi,2848686,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,,,"51,9",,142,,"10,3",,"82,6",,"95,2",,1,,"83,9",,1,,,,1,
DI09015itknt,2848768,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,88,,1,,"51,5",,146,,,,"83,1",,"104,5",,1,,"107,1",,1,,2,,1,
DI09015itkt,2848769,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,85,,,,51,,146,,"10,07",,"81,4",,"104,2",,,,"114,5",,,,,,1,
DI09015itkfi,2848767,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"54,9",,146,,"9,49",,"82,9",,"101,8",,1,,"89,8",,1,,,,1,
DI09017itkt,2848787,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"54,4",,141,,"10,07",,"83,2",,"98,1",,,,"107,8",,,,,,1,
DI09017itkfi,2848785,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,,,"58,8",,140,,"10,26",,"83,6",,"105,1",,1,,"92,7",,1,,,,1,
DI09017itknt,2848786,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,88,,1,,"55,8",,139,,,,"83,2",,"104,8",,"1,5",,"107,5",,1,,3,,1,
DI09004itkfi,2848728,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,,,"57,9",,142,,"10,52",,"81,2",,"99,3",,1,,"87,6",,1,,,,1,
DI09004itkt,2848730,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,treated,2010,85,,,,"55,6",,143,,"10,78",,"80,4",,"103,2",,,,"113,4",,,,,,1,
DI09004itknt,2848729,BTH_Rennes_2010_SetA2,BTH_Rennes_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,92,,4,,"54,6",,142,,,,"81,4",,"101,2",,1,,"103,7",,1,,"3,5",,1,
