observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
EM09015,2849926,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,2010,3,,5,,1,,1,
Koreli,2849932,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2010,8,,5,,1,,4,
CF09117,2849930,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2010,4,,2,,1,,1,
RE09002,2849937,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49618,https://doi.org/10.15454/L6UK54,RE09002,VIRTUAL_TRIAL,,,,,,,,2010,"4,5",,2,,1,,1,
RE09010,2849924,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48540,https://doi.org/10.15454/82RKSJ,RE09010,VIRTUAL_TRIAL,,,,,,,,2010,6,,2,,1,,1,
Premio,2849921,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,5,,1,,1,
RE09009,2849939,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,2010,6,,2,,1,,1,
EM09003,2849923,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,2010,4,,5,,NA,,8,
EM09021,2849920,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48576,gnpis_pui:holding-921_taxon-4898_accession-48576,EM09021,VIRTUAL_TRIAL,,,,,,,,2010,4,,5,,3,,1,
CF09077,2849936,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49152,gnpis_pui:holding-921_taxon-4898_accession-49152,CF09077,VIRTUAL_TRIAL,,,,,,,,2010,4,,5,,4,,4,
CF09085,2849953,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49657,gnpis_pui:holding-921_taxon-4898_accession-49657,CF09085,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,NA,,6,
RE09031,2849928,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,49247,gnpis_pui:holding-921_taxon-4898_accession-49247,RE09031,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,2,,2,,1,
AO10012,2849922,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48523,gnpis_pui:holding-921_taxon-4898_accession-48523,AO10012,VIRTUAL_TRIAL,,,,,,,,2010,8,,2,,1,,4,
AO10009,2849940,BTH_Rennes_2010_SetB1_PIETIN-VERSE,BTH_Rennes_2010_SetB1_PIETIN-VERSE,48682,gnpis_pui:holding-921_taxon-4898_accession-48682,AO10009,VIRTUAL_TRIAL,,,,,,,,2010,6,,5,,NA,,7,
