observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Koreliitkt,2851453,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,142,,"86,3",,"98,6",,1,,95,
Barokitkt,2851437,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,140,,"75,1",,92,,5,,"88,7",
EM08012itkt,2851464,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49328,gnpis_pui:holding-921_taxon-4898_accession-49328,EM08012,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,141,,"71,9",,"107,2",,1,,"103,3",
RE09074itkt,2851447,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48534,gnpis_pui:holding-921_taxon-4898_accession-48534,RE09074,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,138,,"86,1",,"94,8",,1,,"91,4",
Bermudeitkt,2851449,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,142,,"78,5",,"105,2",,3,,"101,3",
EM09320itkt,2851446,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,139,,"78,4",,107,,7,,103,
CF09225itkt,2851473,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,144,,"81,5",,"105,2",,3,,"101,4",
CF09227itkt,2851475,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,139,,"82,4",,"105,8",,1,,102,
CF09206itkt,2851472,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48768,gnpis_pui:holding-921_taxon-4898_accession-48768,CF09206,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,137,,84,,"96,8",,3,,"93,3",
DI10012itkt,2851441,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48684,gnpis_pui:holding-921_taxon-4898_accession-48684,DI10012,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,140,,"82,2",,"90,1",,1,,"86,8",
EM08222itkt,2851450,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49122,gnpis_pui:holding-921_taxon-4898_accession-49122,EM08222,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,133,,"74,4",,"91,6",,1,,"88,2",
EM08215itkt,2851474,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49231,gnpis_pui:holding-921_taxon-4898_accession-49231,EM08215,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,141,,"79,9",,"95,5",,1,,92,
CF09276itkt,2851452,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,133,,"80,1",,"97,7",,1,,"94,2",
EM08231itkt,2851469,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,143,,"77,1",,"101,8",,1,,"98,1",
DI10016itkt,2851438,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49397,gnpis_pui:holding-921_taxon-4898_accession-49397,DI10016,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,139,,"84,5",,"101,5",,1,,"97,8",
Stru061884itkt,2851470,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48384,gnpis_pui:holding-921_taxon-4898_accession-48384,Stru061884,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,146,,"77,5",,"97,7",,3,,"94,1",
HadmF11340itkt,2851459,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49601,gnpis_pui:holding-921_taxon-4898_accession-49601,HadmF11340,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,141,,"79,8",,"105,1",,1,,"101,2",
RE09063itkt,2851462,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,146,,"71,9",,"102,9",,1,,"99,1",
HadmF11326itkt,2851454,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,140,,"76,5",,"100,1",,1,,"96,4",
RE09080itkt,2851456,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48783,gnpis_pui:holding-921_taxon-4898_accession-48783,RE09080,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,140,,77,,"94,7",,1,,"91,2",
CF09226itkt,2851476,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48589,gnpis_pui:holding-921_taxon-4898_accession-48589,CF09226,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,136,,"82,1",,"99,5",,1,,"95,9",
RE09079itkt,2851445,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,144,,75,,"103,4",,1,,"99,6",
AO10026itkt,2851467,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,139,,"73,9",,"103,2",,3,,"99,4",
Apacheitkt,2851455,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,136,,"81,8",,"102,4",,3,,"98,7",
Premioitkt,2851443,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,139,,"79,8",,97,,3,,"93,4",
DI10015itkt,2851448,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,137,,"80,8",,"109,2",,7,,"105,2",
RE09073itkt,2851460,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,140,,"71,6",,96,,1,,"92,5",
DI10014itkt,2851439,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48493,gnpis_pui:holding-921_taxon-4898_accession-48493,DI10014,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,141,,"76,8",,"96,4",,1,,"92,9",
AO10024itkt,2851465,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49722,gnpis_pui:holding-921_taxon-4898_accession-49722,AO10024,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,139,,"80,6",,"92,2",,5,,"88,8",
AO10027itkt,2851468,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49344,gnpis_pui:holding-921_taxon-4898_accession-49344,AO10027,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,135,,"83,5",,"100,8",,3,,"97,1",
CF09284itkt,2851440,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49521,gnpis_pui:holding-921_taxon-4898_accession-49521,CF09284,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,132,,"82,4",,"97,5",,1,,94,
DI10013itkt,2851442,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,49728,gnpis_pui:holding-921_taxon-4898_accession-49728,DI10013,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,142,,"83,3",,94,,1,,"90,5",
DI10017itkt,2851444,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48346,gnpis_pui:holding-921_taxon-4898_accession-48346,DI10017,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,140,,"75,8",,"92,6",,1,,"89,2",
RE09084itkt,2851458,BTH_Clermont-Ferrand_2010_SetB3,BTH_Clermont-Ferrand_2010_SetB3,48758,gnpis_pui:holding-921_taxon-4898_accession-48758,RE09084,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,143,,"81,5",,"90,1",,1,,"86,8",
