observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2852174,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49722,gnpis_pui:holding-921_taxon-4898_accession-49722,AO10024,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"52,22",
1,2852139,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48814,https://doi.org/10.15454/QM62JM,DI10015,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"58,92",
1,2852153,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"66,56",
2,2852154,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"57,05",
2,2852124,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49521,gnpis_pui:holding-921_taxon-4898_accession-49521,CF09284,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"50,28",
1,2852123,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,49521,gnpis_pui:holding-921_taxon-4898_accession-49521,CF09284,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"60,99",
2,2852186,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48873,gnpis_pui:holding-921_taxon-4898_accession-48873,CF09257,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"48,29",
1,2852185,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48873,gnpis_pui:holding-921_taxon-4898_accession-48873,CF09257,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"56,79",
2,2852166,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"54,92",
1,2852165,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"53,96",
1,2852135,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"68,41",
2,2852136,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48354,https://doi.org/10.15454/V82MUD,EM09320,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"59,81",
2,2852152,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2010,"62,63",
1,2852151,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"65,52",
1,2852121,BTH_Lusignan_2010_SetB3,BTH_Lusignan_2010_SetB3,48493,gnpis_pui:holding-921_taxon-4898_accession-48493,DI10014,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2010,"62,92",
