observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itknt,2854104,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,91,,,,,,,,"78,8",,"108,3",,"85,08",
DI08019-2itkt,2854105,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,,,"43,5",,130,,"12,6",,"77,5",,"103,2",,"83,8",
Strub061859-1itknt,2854150,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,107,,,,,,,,"81,8",,"102,9",,"80,88",
CF08027itknt,2854176,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,95,,,,,,,,"79,7",,"106,6",,"83,73",
HadmF11383itknt,2854112,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,90,,,,,,,,"78,9",,"90,8",,"71,35",
Strub061859-1itkt,2854151,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2011,,,"46,3",,132,,13,,"80,7",,"97,9",,"79,4",
HadmF11383itkt,2854113,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2011,,,"44,6",,129,,"13,5",,"77,8",,"103,1",,"83,6",
CF07143itkt,2854159,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2011,,,"47,4",,131,,"13,6",,"77,4",,"98,8",,"80,1",
CF08027itkt,2854177,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2011,,,"41,5",,132,,"12,7",,"80,4",,"100,8",,"81,8",
AO10026itknt,2854130,BTH_Epi-centre_2011_SetA1,BTH_Epi-centre_2011_SetA1,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,,,,,,,77,,"97,2",,"76,4",
