observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
EM09015,2857516,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",,4,,5,,5,,9,,1,
DI10006,2857525,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,4,,2,,2,,3,,4,
DI10007,2857524,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,6,,2,,2,,2,,1,
DI10015,2857500,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,2011,2,,4,,5,,5,,4,,1,
RE09055,2857535,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,2011,"5,5",,1,,5,,5,,2,,2,
Barok,2857498,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,4,,NA,,5,,3,,1,
CF09182,2857510,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,2011,5,,6,,2,,2,,9,,1,
CF09117,2857533,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",,1,,2,,3,,4,,4,
CF09225,2857536,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,2011,3,,6,,2,,2,,6,,1,
CF09227,2857537,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,1,,5,,5,,3,,2,
CF09176,2857523,BTH_Rennes_2011_SetA2_PIETIN-VERSE,BTH_Rennes_2011_SetA2_PIETIN-VERSE,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,2011,3,,6,,2,,2,,6,,1,
