observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF10299itkt,2861830,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,5",,69,,NA,,97,,NA,,"38,6",,NA,,"73,1",,NA,,"208,7",,70,,"1,01",,190,,16,,217,,"10,2",,"72,3",,NA,,1520,,"2,78",,NA,
EM10126itkt,2861815,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2011,17,,58,,NA,,97,,NA,,"57,6",,NA,,"84,4",,NA,,239,,92,,"1,58",,206,,55,,222,,"9,6",,72,,NA,,1520,,"2,27",,NA,
DI08019-2itkt,2861802,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,9",,51,,94,,NA,,52,,NA,,94,,NA,,240,,NA,,100,,"1,96",,201,,"80,5",,362,,"10,5",,NA,,1473,,NA,,NA,,"30,5",
CF10185itkt,2861844,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2011,"20,6",,86,,NA,,100,,NA,,"67,8",,NA,,"89,6",,NA,,"257,4",,84,,"0,98",,256,,67,,338,,"10,7",,"75,6",,NA,,1860,,"2,94",,NA,
CF10140itkt,2861804,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,treated,2011,20,,81,,NA,,100,,NA,,"41,9",,NA,,"78,5",,NA,,"220,4",,96,,"1,18",,304,,60,,243,,"10,8",,"74,4",,NA,,1580,,"3,55",,NA,
CF10042itkt,2861811,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,6",,70,,NA,,100,,NA,,"62,8",,NA,,"88,1",,NA,,251,,84,,"1,2",,219,,72,,304,,"10,4",,"77,1",,NA,,1620,,"2,3",,NA,
CF10064itkt,2861838,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,6",,78,,NA,,100,,NA,,"61,4",,NA,,"95,5",,NA,,"256,8",,79,,"1,01",,238,,12,,302,,"10,2",,"75,6",,NA,,1720,,"3,17",,NA,
CF09117itkt,2861840,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2011,"21,1",,90,,91,,NA,,51,,NA,,83,,NA,,225,,NA,,93,,"1,03",,297,,"90,5",,290,,"12,2",,NA,,1585,,NA,,NA,,"44,5",
CF09227itkt,2861846,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,1",,66,,91,,NA,,76,,NA,,84,,NA,,251,,NA,,95,,"1,44",,227,,"94,5",,332,,"10,8",,NA,,1600,,NA,,NA,,"30,5",
EM08231itkt,2861833,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,2",,67,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,38,,"0,57",,74,,35,,158,,"11,05",,NA,,NA,,NA,,NA,,14,
Folkloritkt,2861800,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,1",,66,,94,,NA,,55,,NA,,87,,NA,,236,,NA,,76,,"1,15",,169,,90,,321,,"10,6",,NA,,1555,,NA,,NA,,27,
RE09013itkt,2861826,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49189,https://doi.org/10.15454/FINGUM,RE09013,VIRTUAL_TRIAL,,,,,,,,treated,2011,"21,1",,90,,NA,,85,,NA,,"52,9",,NA,,82,,NA,,"219,9",,61,,"0,67",,195,,14,,139,,"9,7",,"70,9",,NA,,1550,,"2,16",,NA,
RE10040itkt,2861827,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,4",,61,,NA,,100,,NA,,"34,4",,NA,,87,,NA,,"221,4",,77,,"1,25",,156,,40,,277,,"9,4",,"73,6",,NA,,1380,,"4,83",,NA,
RE10072itkt,2861803,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,treated,2011,"17,4",,61,,NA,,100,,NA,,"49,5",,NA,,77,,NA,,"226,5",,72,,"1,18",,144,,59,,283,,"9,6",,"75,9",,NA,,1400,,"3,11",,NA,
RE10095itkt,2861809,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,49072,https://doi.org/10.15454/OZM4O0,RE10095,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,3",,75,,NA,,100,,NA,,"52,5",,NA,,"78,5",,NA,,231,,62,,"0,82",,134,,17,,356,,"10,6",,"75,8",,NA,,1500,,"4,18",,NA,
RE09063itkt,2861823,BTH_Dijon_2011_TECH,BTH_Dijon_2011_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2011,20,,81,,88,,NA,,41,,NA,,72,,NA,,201,,NA,,77,,"0,95",,206,,76,,286,,"10,8",,NA,,1500,,NA,,NA,,27,
