observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkfi,2862420,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,141,,"8,73",,"83,5",,"101,2",,,,"91,4",,,,,
DI08019-2itknt,2862421,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,4,,,,1,,,
CF08027itkfi,2862510,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,143,,"9,07",,84,,"103,6",,,,"93,6",,,,,
DI08019-2itkt,2862422,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,"10,47",,"84,3",,"98,9",,,,"97,6",,,,"1,5",
Soissonsitkt,2862500,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,132,,"10,38",,"81,7",,"96,4",,,,"95,2",,,,1,
EM09221itknt,2862484,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,4,,,,3,,,
RE09055itkfi,2862501,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,140,,"9,03",,73,,"96,9",,,,"87,5",,,,,
RE09055itknt,2862502,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,1,,,,1,,,
Granamaxitkt,2862452,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"9,41",,"79,2",,"104,9",,,,"103,6",,,,"1,5",
EM09320itkt,2862410,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"9,73",,"80,4",,"105,5",,,,"104,2",,,,1,
RE09055itkt,2862503,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,136,,"9,53",,"74,1",,"94,7",,,,"93,5",,,,1,
Koreliitkt,2862440,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"10,02",,"85,4",,"99,5",,,,"98,2",,,,1,
Koreliitkfi,2862438,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,141,,"9,38",,84,,"98,8",,,,"89,3",,,,,
Granamaxitknt,2862451,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,3,,,,1,,,
Koreliitknt,2862439,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,,,3,,,,1,,,
Soissonsitknt,2862499,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,7,,,,1,,,
EM09320itkfi,2862408,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,140,,"8,75",,82,,102,,,,"92,2",,,,,
Granamaxitkfi,2862450,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,139,,"8,91",,"77,5",,"106,2",,,,96,,,,,
Altigoitkt,2862461,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,132,,"9,93",,"78,6",,99,,,,"97,7",,,,1,
AO11011itknt,2862454,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,2,,,,1,,,
EM07117itkt,2862428,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"10,32",,"80,6",,97,,,,"95,8",,,,3,
CF09117itkfi,2862495,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,138,,"9,64",,80,,"101,1",,,,"91,4",,,,,
AO11005itkt,2862443,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,135,,"9,59",,"79,8",,"101,3",,,,100,,,,1,
CF09117itkt,2862497,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,134,,"12,29",,"81,6",,"102,1",,,,"100,8",,,,3,
CF09117itknt,2862496,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,5,,,,1,,,
AO11011itkfi,2862453,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,143,,"8,75",,83,,"96,9",,,,"87,6",,,,,
CF09227itkt,2862509,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"8,91",,"80,1",,"98,7",,,,"97,5",,,,7,
CF09227itknt,2862508,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,3,,,,1,,,
CF09227itkfi,2862507,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,140,,"8,82",,"82,5",,"110,6",,,,100,,,,,
EM09222itknt,2862481,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,5,,,,1,,,
AO11011itkt,2862455,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"9,67",,"81,2",,"99,3",,,,"98,1",,,,"3,5",
Altigoitknt,2862460,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,,,7,,,,1,,,
