observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI08019-2itkt,2862732,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,142,,"8,72",,"80,1",,"105,2",,,,"101,6",,,
Soissonsitkfi,2862783,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,138,,"8,43",,"79,6",,"96,3",,"5,5",,69,,"4,5",
Apacheitkt,2862748,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,140,,"9,84",,"79,3",,"98,9",,,,"95,5",,,
Apacheitkfi,2862747,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,87,,140,,"7,73",,"73,8",,"95,8",,"4,5",,"68,7",,4,
Lyrikitkfi,2862787,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,87,,143,,"6,68",,"77,8",,"106,1",,4,,76,,"3,5",
AO10013itkt,2862740,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2012,98,,139,,"9,77",,"75,8",,"108,3",,,,"104,6",,,
Soissonsitkt,2862784,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2012,96,,136,,"9,77",,"79,3",,"93,2",,,,"90,1",,,
RE09055itkt,2862786,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,140,,"9,64",,"73,9",,"100,2",,,,"96,8",,,
CF09169itkfi,2862741,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,96,,140,,"7,89",,"78,8",,"100,6",,4,,"72,1",,"2,5",
RE09055itkfi,2862785,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,140,,"7,44",,"72,3",,"101,6",,2,,"72,8",,6,
