observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkfi,2863931,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,"39,6",,140,,"9,48",,"79,8",,"131,7",,"1,5",,"82,2",,1,,2,,1,
DI08019-2itkt,2863932,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,"42,7",,139,,"10,04",,"80,8",,"124,6",,,,"108,3",,,,,,1,
Lyrikitkt,2863988,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,105,,"41,6",,141,,"10,22",,"79,2",,"124,9",,,,"108,6",,,,,,1,
AO10013itkfi,2863939,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,"41,4",,136,,"10,12",,"74,9",,"108,1",,6,,"67,5",,1,,1,,1,
EM07117itkt,2863936,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2012,112,,39,,140,,"10,01",,"80,2",,"121,2",,,,"105,4",,,,,,1,
Lyrikitkfi,2863987,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,"39,1",,141,,"8,99",,"77,9",,"139,1",,1,,"86,8",,1,,2,,1,
RE09055itkfi,2863985,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,99,,"41,2",,134,,"11,07",,"73,2",,"117,9",,1,,"73,6",,1,,"3,8",,1,
RE09055itkt,2863986,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2012,99,,46,,133,,"10,82",,75,,"106,8",,,,"92,8",,,,,,1,
Koreliitkt,2863944,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,111,,"44,4",,140,,"10,55",,"83,2",,"116,5",,,,"101,2",,,,,,1,
AO11012itkfi,2863919,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,"32,9",,140,,"10,1",,"76,4",,"98,1",,"2,5",,"61,3",,1,,"4,2",,1,
Koreliitkfi,2863943,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,"40,9",,140,,10,,"82,6",,"122,3",,1,,"76,3",,1,,3,,1,
Soissonsitkfi,2863983,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,"33,2",,132,,"9,95",,"76,8",,88,,3,,55,,1,,"5,5",,1,
Ghaytaitkfi,2863975,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,"38,6",,140,,"11,41",,"76,2",,"107,3",,2,,67,,1,,4,,1,
AO11012itkt,2863920,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,treated,2012,95,,"40,6",,139,,"10,07",,"80,3",,105,,,,"91,3",,,,,,1,
AO11001itkfi,2863959,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,"37,2",,138,,"10,04",,"74,6",,"101,7",,"5,5",,"63,5",,1,,"2,5",,1,
Soissonsitkt,2863984,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2012,99,,"35,2",,132,,"10,9",,"80,6",,"94,2",,,,"81,9",,,,,,1,
CF09169itkt,2863942,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2012,112,,"41,6",,136,,"10,95",,"79,6",,"108,9",,,,"94,7",,,,,,1,
CF09117itkt,2863982,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2012,110,,"47,4",,134,,"12,73",,"80,2",,124,,,,"107,8",,,,,,1,
CF09117itkfi,2863981,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,111,,"41,2",,134,,"10,26",,76,,"129,1",,"4,5",,"80,6",,1,,"3,8",,1,
Ghaytaitkt,2863976,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2012,104,,"44,7",,141,,"13,02",,"79,3",,"109,4",,,,"95,1",,,,,,1,
CF09227itkt,2863990,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2012,108,,"37,6",,136,,"10,36",,"76,4",,"106,4",,,,"92,5",,,,,,1,
CF09227itkfi,2863989,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,114,,"31,2",,136,,"10,21",,"74,5",,"113,2",,1,,"70,7",,1,,3,,1,
Grapeliitkt,2863938,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,115,,"38,3",,139,,"10,12",,"79,8",,"123,2",,,,"107,1",,,,,,1,
AO11013itkt,2863922,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,104,,"45,9",,137,,"10,15",,"78,4",,"116,4",,,,"101,2",,,,,,1,
AO11013itkfi,2863921,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,"40,9",,138,,"10,12",,"75,4",,"114,4",,1,,"71,4",,1,,"3,5",,1,
AO11005itkt,2863946,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,"37,6",,137,,"11,43",,"77,4",,"109,3",,,,95,,,,,,1,
EM08231itkt,2863970,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2012,89,,"41,2",,138,,"10,25",,"74,4",,"109,9",,,,"95,5",,,,,,1,
Grapeliitkfi,2863937,BTH_Lusignan_2012_SetA1,BTH_Lusignan_2012_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,111,,"39,6",,139,,"9,4",,"79,8",,"138,7",,1,,"86,6",,1,,3,,1,
