observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itknt,2864171,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,88,,,,,,,,"63,1",,"123,7",,5,,"82,9",,1,,"3,5",,1,
EM07117itkt,2864176,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,102,,"45,9",,146,,"10,07",,74,,"112,6",,,,"95,6",,,,,,1,
AO11002itkt,2864202,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,90,,51,,146,,"11,38",,"66,8",,"94,5",,,,"80,2",,,,,,1,
AO11002itknt,2864201,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,95,,,,,,,,71,,"105,1",,"3,5",,"70,5",,1,,"5,5",,1,
DI08019-2itkt,2864172,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,85,,"45,8",,144,,"9,38",,"74,1",,"111,4",,,,"94,6",,,,,,1,
Lyrikitknt,2864227,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,92,,,,,,,,"68,6",,"121,7",,"4,5",,"81,6",,1,,5,,1,
AO10013itknt,2864179,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"2,5",,85,,,,,,,,"65,6",,113,,"7,5",,"75,8",,1,,6,,3,
Lyrikitkt,2864228,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,90,,"46,8",,144,,"9,2",,"74,4",,"113,4",,,,"96,3",,,,,,1,
RE09055itknt,2864225,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,85,,,,,,,,"57,4",,"101,2",,1,,"67,9",,1,,"5,5",,1,
RE09055itkt,2864226,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,80,,"44,8",,144,,"10,43",,"62,7",,"100,2",,,,"85,1",,,,,,1,
