observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF11041itkfi,2867702,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61302,https://doi.org/10.15454/YCKCWW,CF11041,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,96,,134,,"77,2",,"101,8",,1,,"63,4",,1,,"3,8",,1,
EM11149itkfi,2867677,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,62095,https://doi.org/10.15454/BHSE0Q,EM11149,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,137,,"78,9",,"114,1",,1,,"71,1",,1,,3,,1,
DI12004itkfi,2867690,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,142,,"77,5",,"111,2",,1,,"69,3",,1,,3,,1,
CF11075itkfi,2867678,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61332,https://doi.org/10.15454/BH8LXP,CF11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,139,,"76,6",,"100,5",,1,,"62,6",,1,,"4,2",,1,
EM11359itkfi,2867697,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,62111,https://doi.org/10.15454/CSGOVX,EM11359,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,139,,"74,8",,"102,2",,1,,"63,7",,1,,"3,5",,1,
AO12012itkfi,2867709,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,60799,https://doi.org/10.15454/H3MSSG,AO12012,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,140,,"75,2",,"99,8",,1,,"62,2",,1,,4,,1,
EM11389itkfi,2867674,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,137,,"77,6",,"104,5",,1,,"65,1",,1,,"3,5",,1,
AO12001itkfi,2867710,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,140,,"77,6",,"104,8",,1,,"65,3",,1,,5,,1,
DI12007itkfi,2867687,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61832,https://doi.org/10.15454/HYWSTF,DI12007,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,142,,"77,4",,"112,5",,1,,"70,1",,1,,"3,8",,1,
RE11015itkfi,2867684,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,60917,https://doi.org/10.15454/2YDIBV,RE11015,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,108,,141,,78,,"119,2",,1,,"74,3",,1,,3,,1,
CF11003itkfi,2867707,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61253,https://doi.org/10.15454/0HUC0X,CF11003,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,140,,80,,"101,9",,1,,"63,5",,1,,4,,1,
CF11032itkfi,2867712,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61285,https://doi.org/10.15454/MAOLEE,CF11032,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,142,,"75,6",,"106,8",,1,,"66,6",,1,,"3,5",,1,
RE11029itkfi,2867708,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,60949,https://doi.org/10.15454/2CCYP2,RE11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,142,,"80,6",,"105,1",,1,,"65,5",,3,,3,,1,
DI12006itkfi,2867688,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61817,https://doi.org/10.15454/3PVIBR,DI12006,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,99,,143,,"72,8",,"95,9",,1,,"59,8",,1,,4,,1,
RE11010itkfi,2867686,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,60870,https://doi.org/10.15454/RYT1LE,RE11010,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,138,,"78,4",,"113,8",,1,,"70,9",,1,,"3,2",,1,
Premioitkfi,2867676,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,137,,"76,2",,108,,1,,"67,3",,1,,"4,2",,1,
CF11103itkfi,2867699,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61385,https://doi.org/10.15454/99NTYT,CF11103,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,137,,"75,6",,"93,2",,1,,58,,1,,"4,8",,1,
EM11441itkfi,2867694,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,108,,138,,"76,2",,125,,1,,"77,9",,1,,3,,1,
EM11400itkfi,2867703,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,142,,"73,4",,99,,1,,"61,7",,1,,"3,5",,1,
CF11094itkfi,2867681,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,61366,https://doi.org/10.15454/WFSIHH,CF11094,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,140,,"76,6",,"105,1",,1,,"65,5",,1,,"3,2",,1,
RE11013itkfi,2867685,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,60900,https://doi.org/10.15454/CKLKVS,RE11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,143,,78,,111,,1,,"69,1",,1,,"2,5",,1,
Apacheitkfi,2867698,BTH_Lusignan_2012_SetB1,BTH_Lusignan_2012_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,136,,"74,4",,"86,7",,1,,54,,1,,"5,2",,1,
