observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,pvp(CO_321:1000251),pvp(CO_321:1000251).date
DI00005,2764823,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,2000,5,
CF00189,2764834,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,2000,2,
CF99056,2764858,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48578,gnpis_pui:holding-921_taxon-4898_accession-48578,CF99056,VIRTUAL_TRIAL,,,,,,,,2000,2,
CF00188,2764835,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48390,gnpis_pui:holding-921_taxon-4898_accession-48390,CF00188,VIRTUAL_TRIAL,,,,,,,,2000,5,
DI00007,2764844,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49259,gnpis_pui:holding-921_taxon-4898_accession-49259,DI00007,VIRTUAL_TRIAL,,,,,,,,2000,3,
DI00001,2764838,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48487,gnpis_pui:holding-921_taxon-4898_accession-48487,DI00001,VIRTUAL_TRIAL,,,,,,,,2000,5,
CF99059,2764836,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48803,gnpis_pui:holding-921_taxon-4898_accession-48803,CF99059,VIRTUAL_TRIAL,,,,,,,,2000,2,
CF99074,2764842,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48813,gnpis_pui:holding-921_taxon-4898_accession-48813,CF99074,VIRTUAL_TRIAL,,,,,,,,2000,2,
EM00001,2764824,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49116,gnpis_pui:holding-921_taxon-4898_accession-49116,EM00001,VIRTUAL_TRIAL,,,,,,,,2000,3,
DI00002,2764839,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49468,gnpis_pui:holding-921_taxon-4898_accession-49468,DI00002,VIRTUAL_TRIAL,,,,,,,,2000,2,
DI00009,2764833,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49593,gnpis_pui:holding-921_taxon-4898_accession-49593,DI00009,VIRTUAL_TRIAL,,,,,,,,2000,3,
Apache,2764845,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2000,NA,
RE00004,2764846,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49474,gnpis_pui:holding-921_taxon-4898_accession-49474,RE00004,VIRTUAL_TRIAL,,,,,,,,2000,2,
RE00005,2764847,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48972,gnpis_pui:holding-921_taxon-4898_accession-48972,RE00005,VIRTUAL_TRIAL,,,,,,,,2000,5,
RE99104,2764855,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48867,gnpis_pui:holding-921_taxon-4898_accession-48867,RE99104,VIRTUAL_TRIAL,,,,,,,,2000,5,
Charger,2764851,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2000,NA,
Tremie,2764852,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2000,NA,
DI00008,2764832,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,2000,3,
DI00003,2764840,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,48431,gnpis_pui:holding-921_taxon-4898_accession-48431,DI00003,VIRTUAL_TRIAL,,,,,,,,2000,2,
Valoris,2764853,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,25701,https://doi.org/10.15454/EMUZ8X,VALORIS,VIRTUAL_TRIAL,,,,,,,,2000,NA,
EM00002,2764826,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,2000,2,
RE00002,2764848,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49213,gnpis_pui:holding-921_taxon-4898_accession-49213,RE00002,VIRTUAL_TRIAL,,,,,,,,2000,2,
EM00007,2764829,BTH_Rennes_2000_SetB1_PIETIN-VERSE,BTH_Rennes_2000_SetB1_PIETIN-VERSE,49081,gnpis_pui:holding-921_taxon-4898_accession-49081,EM00007,VIRTUAL_TRIAL,,,,,,,,2000,2,
