observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2868129,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49318,https://doi.org/10.15454/WXGPLG,AO12014,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"112,98",,8,
2,2868154,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"94,78",,1,
1,2868187,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"86,63",,1,
2,2868188,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"90,55",,1,
2,2868184,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"96,57",,1,
1,2868183,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"91,03",,1,
1,2868181,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"96,16",,2,
2,2868182,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"93,45",,1,
1,2868149,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"100,81",,6,
2,2868150,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"104,08",,7,
2,2868192,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61547,https://doi.org/10.15454/WWS1CM,EM11552,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"91,14",,3,
1,2868191,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61547,https://doi.org/10.15454/WWS1CM,EM11552,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"81,35",,6,
2,2868132,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61539,https://doi.org/10.15454/9F9U9Z,CF11192,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"96,68",,1,
1,2868131,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61539,https://doi.org/10.15454/9F9U9Z,CF11192,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"97,56",,1,
2,2868148,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61705,https://doi.org/10.15454/LUSDY2,EM11565,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"95,88",,7,
1,2868147,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61705,https://doi.org/10.15454/LUSDY2,EM11565,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"104,73",,6,
1,2868177,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"89,17",,1,
2,2868178,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"92,18",,1,
2,2868164,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"94,42",,4,
1,2868163,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"89,73",,7,
2,2868118,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61019,https://doi.org/10.15454/VSFGLN,AO12025,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"100,38",,1,
1,2868117,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61019,https://doi.org/10.15454/VSFGLN,AO12025,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"95,71",,1,
2,2868140,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"92,14",,2,
1,2868139,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"96,81",,1,
2,2868142,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61847,https://doi.org/10.15454/ERHVKW,DI12008,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"88,18",,7,
