observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE11073itkt,2868206,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,142,,"82,4",,"97,5",,,,"98,3",,,,"4,5",
CF11140itknt,2868233,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,3,,,,1,,,
EM11589itknt,2868239,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,62158,https://doi.org/10.15454/4698PG,EM11589,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,1,,,,,,,,4,,,,1,,,
CF11140itkt,2868234,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,141,,80,,"92,1",,,,"92,9",,,,1,
RE11073itknt,2868205,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,3,,,,1,,,
EM11589itkt,2868240,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,62158,https://doi.org/10.15454/4698PG,EM11589,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,"80,9",,"103,6",,,,"104,4",,,,5,
CF11150itkt,2868268,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,142,,"77,9",,"87,9",,,,"88,6",,,,1,
CF11150itknt,2868267,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,4,,,,1,,,
RE11035itkt,2868218,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,"83,4",,"100,7",,,,"101,5",,,,1,
RE11035itknt,2868217,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,4,,,,1,,,
CF11110itknt,2868263,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,5,,,,1,,,
CF11110itkt,2868264,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,82,,93,,,,"93,8",,,,1,
Altigoitkt,2868236,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,132,,"79,1",,"98,7",,,,"99,5",,,,1,
