observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO12018itkfi,2868649,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,60912,https://doi.org/10.15454/5FEVH3,AO12018,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,90,,152,,"10,86",,"67,6",,1,,"45,6",,"7,5",,"2,5",,2,
CF11140itkt,2868634,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,82,,152,,"11,27",,"87,6",,,,"77,4",,2,,2,,"1,5",
CF11150itkfi,2868667,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,85,,152,,"11,93",,"94,6",,6,,"63,8",,1,,3,,1,
CF11150itkt,2868668,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,152,,"11,86",,"92,2",,,,"81,5",,1,,2,,"4,5",
CF11110itkfi,2868663,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,92,,153,,"11,04",,"101,6",,4,,"68,5",,1,,3,,1,
CF11110itkt,2868664,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,153,,"11,33",,"95,3",,,,"84,3",,1,,1,,"2,5",
CF11159itkt,2868662,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,82,,147,,"11,95",,"86,4",,,,"76,3",,"1,5",,"1,5",,9,
CF11159itkfi,2868661,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,82,,147,,"11,21",,"100,6",,"2,5",,"67,8",,1,,"3,5",,3,
CF11164itkt,2868630,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,152,,"12,45",,"93,6",,,,"82,7",,1,,1,,9,
CF11164itkfi,2868629,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,90,,152,,"11,16",,"99,4",,"2,5",,67,,1,,2,,"3,5",
