observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF11140itkfi,2868873,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,87,,146,,"11,23",,"61,8",,"77,3",,1,,"55,5",,1,,"3,5",,1,
RE11087itkt,2868882,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2012,90,,146,,"11,95",,"72,3",,"98,6",,,,98,,,,,,"5,5",
DI12012itkfi,2868895,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61923,https://doi.org/10.15454/DNQAJZ,DI12012,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,149,,"11,54",,"59,8",,84,,"1,5",,"60,3",,1,,"2,5",,1,
DI12012itkt,2868896,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61923,https://doi.org/10.15454/DNQAJZ,DI12012,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,148,,"12,22",,"63,3",,"78,4",,,,"77,9",,,,,,"3,5",
CF11140itkt,2868874,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,144,,"11,5",,"69,2",,"86,7",,,,"86,2",,,,,,3,
RE11060itkfi,2868877,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61023,https://doi.org/10.15454/NQSOJJ,RE11060,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,147,,"10,43",,"68,8",,"104,6",,3,,"75,1",,1,,2,,1,
RE11045itkt,2868840,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,48831,https://doi.org/10.15454/IFODWI,RE11045,VIRTUAL_TRIAL,,,,,,,,treated,2012,99,,146,,"12,02",,"69,8",,"84,4",,,,"83,9",,,,,,"6,5",
CF11150itkfi,2868907,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,86,,146,,"11,98",,65,,"85,5",,1,,"61,4",,1,,"3,5",,1,
DI12010itkfi,2868891,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,146,,"12,36",,"61,4",,82,,1,,"58,9",,1,,2,,1,
CF11150itkt,2868908,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,144,,"12,28",,"69,2",,"91,6",,,,"91,1",,,,,,3,
DI12010itkt,2868892,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,VIRTUAL_TRIAL,,,,,,,,treated,2012,86,,143,,"12,51",,"67,7",,"82,2",,,,"81,7",,,,,,5,
Premioitkfi,2868833,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,84,,142,,"11,32",,"70,4",,"108,6",,"1,5",,78,,1,,"4,5",,1,
CF11110itkfi,2868903,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,146,,"10,06",,"70,8",,"94,7",,2,,"68,1",,1,,3,,1,
AO12018itkfi,2868889,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,60912,https://doi.org/10.15454/5FEVH3,AO12018,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,147,,"11,11",,"67,4",,"75,7",,1,,"54,4",,4,,"3,5",,2,
Bermudeitkfi,2868847,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,145,,"10,88",,"63,3",,"101,3",,1,,"72,8",,1,,4,,1,
RE11087itkfi,2868881,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,146,,"10,19",,"73,7",,"121,7",,"2,5",,"87,5",,1,,"1,5",,3,
CF11110itkt,2868904,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,146,,"10,57",,"73,7",,"93,9",,,,"93,3",,,,,,1,
DI12011itkfi,2868893,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,85,,143,,"10,33",,"64,4",,"99,1",,"1,5",,"71,2",,1,,2,,1,
Premioitkt,2868834,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,85,,141,,"11,57",,"75,1",,"109,4",,,,"108,8",,,,,,2,
RE11058itkfi,2868855,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,143,,"9,95",,"73,7",,"122,8",,"2,5",,"88,2",,1,,"2,5",,1,
DI12011itkt,2868894,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,89,,142,,"12,14",,"65,2",,"78,6",,,,"78,1",,,,,,"7,5",
CF11159itkt,2868902,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,140,,"11,66",,"67,1",,"89,4",,,,"88,9",,,,,,7,
CF11159itkfi,2868901,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,86,,141,,"11,24",,"67,7",,"99,1",,1,,"71,2",,1,,3,,"4,5",
RE11060itkt,2868878,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61023,https://doi.org/10.15454/NQSOJJ,RE11060,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,148,,"11,86",,"68,8",,"84,7",,,,"84,2",,,,,,"6,5",
AO12019itkfi,2868887,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,146,,"10,48",,"68,7",,"112,7",,"1,5",,81,,1,,3,,2,
CF11164itkfi,2868869,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,86,,145,,"10,2",,72,,"101,1",,2,,"72,6",,1,,1,,"4,5",
EM11537itkt,2868836,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,146,,"11,59",,"71,2",,"83,9",,,,"83,5",,,,,,"6,5",
EM11537itkfi,2868835,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,146,,"10,34",,"71,4",,"96,5",,1,,"69,3",,1,,2,,1,
CF11164itkt,2868870,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,144,,"11,47",,"72,6",,"87,2",,,,"86,7",,,,,,7,
Apacheitkt,2868872,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,86,,140,,"11,85",,"73,2",,"95,1",,,,"94,6",,,,,,"1,5",
EM11552itkt,2868912,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61547,https://doi.org/10.15454/WWS1CM,EM11552,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,145,,"11,77",,"68,4",,87,,,,"86,5",,,,,,8,
RE11058itkt,2868856,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2012,95,,142,,"10,02",,"73,5",,"102,8",,,,"102,2",,,,,,"3,5",
AO12014itkt,2868850,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,143,,"11,14",,70,,"83,7",,,,"83,2",,,,,,5,
CF11158itkt,2868900,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,VIRTUAL_TRIAL,,,,,,,,treated,2012,93,,145,,"11,82",,"73,8",,"90,4",,,,"89,9",,,,,,7,
EM11552itkfi,2868911,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61547,https://doi.org/10.15454/WWS1CM,EM11552,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,85,,146,,"10,92",,"66,6",,"97,9",,"1,5",,"70,3",,1,,"4,5",,"4,5",
Apacheitkfi,2868871,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,143,,"11,8",,"70,8",,91,,1,,"65,4",,1,,"1,5",,1,
CF11158itkfi,2868899,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,146,,"11,79",,63,,"78,3",,1,,"56,3",,3,,"7,5",,1,
Lyrikitkfi,2868909,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,96,,146,,"9,22",,"74,1",,"119,6",,1,,"85,9",,1,,"1,5",,1,
CF11192itkt,2868852,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61539,https://doi.org/10.15454/9F9U9Z,CF11192,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,142,,"11,87",,"71,2",,"99,9",,,,"99,3",,,,,,3,
RE11073itkt,2868846,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,145,,"10,72",,"73,2",,"100,4",,,,"99,8",,,,,,5,
CF11192itkfi,2868851,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61539,https://doi.org/10.15454/9F9U9Z,CF11192,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,142,,"11,27",,"70,8",,"104,4",,3,,75,,1,,2,,1,
AO12020itkfi,2868843,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,146,,"10,28",,"73,1",,"102,2",,2,,"73,4",,1,,4,,1,
RE11073itkfi,2868845,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,146,,"9,66",,"75,8",,"114,1",,3,,82,,1,,1,,1,
AO12016itkfi,2868863,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,145,,"9,69",,64,,"82,5",,"1,5",,"59,3",,"2,5",,"5,5",,1,
EM11565itkfi,2868867,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61705,https://doi.org/10.15454/LUSDY2,EM11565,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,142,,"11,13",,"63,5",,"93,8",,1,,"67,4",,1,,"5,5",,"1,5",
EM11565itkt,2868868,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61705,https://doi.org/10.15454/LUSDY2,EM11565,VIRTUAL_TRIAL,,,,,,,,treated,2012,99,,143,,"11,21",,"70,2",,"82,6",,,,"82,1",,,,,,"5,5",
AO12016itkt,2868864,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2012,100,,145,,"9,78",,"72,2",,"92,6",,,,"92,1",,,,,,2,
Lyrikitkt,2868910,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,96,,144,,"9,96",,"70,8",,"103,6",,,,103,,,,,,5,
Altigoitkfi,2868875,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,142,,"10,31",,"70,3",,"99,1",,1,,"71,2",,"1,5",,"3,5",,1,
DI12013itkt,2868898,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,VIRTUAL_TRIAL,,,,,,,,treated,2012,86,,144,,"12,54",,"66,3",,"85,7",,,,"85,2",,,,,,"2,5",
CF11115itkfi,2868865,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,83,,144,,"12,12",,"67,8",,"86,1",,1,,"61,9",,1,,"3,5",,"6,5",
AO12020itkt,2868844,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,VIRTUAL_TRIAL,,,,,,,,treated,2012,98,,146,,"11,64",,"69,4",,"91,4",,,,"90,8",,,,,,4,
DI12013itkfi,2868897,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,86,,145,,"11,89",,"62,2",,"86,1",,1,,"61,9",,1,,"4,5",,1,
AO12019itkt,2868888,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,146,,"11,05",,"68,6",,88,,,,"87,5",,,,,,"5,5",
RE11075itkt,2868842,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2012,96,,145,,"10,82",,"71,2",,"101,5",,,,"100,9",,,,,,4,
CF11115itkt,2868866,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,139,,"13,16",,65,,"69,6",,,,"69,2",,,,,,9,
EM11582itkfi,2868883,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,142,,NA,,NA,,"93,5",,1,,"67,2",,1,,"2,5",,2,
EM11582itkt,2868884,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,142,,NA,,NA,,"89,8",,,,"89,3",,,,,,"6,5",
RE11075itkfi,2868841,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,146,,"9,57",,"74,4",,"118,1",,4,,"84,9",,1,,1,,1,
CF11177itkt,2868906,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,146,,"11,68",,74,,"97,2",,,,"96,6",,,,,,3,
CF11177itkfi,2868905,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,91,,146,,"10,7",,71,,"98,8",,1,,71,,1,,"4,5",,1,
