observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO12001itkt,2870952,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,6",,70,,88,,NA,,15,,NA,,78,,NA,,181,,NA,,126,,"1,8",,329,,82,,396,,NA,,"13,3",,NA,,1428,,NA,,NA,,58,
AO12002itkt,2870953,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,8",,88,,88,,NA,,7,,NA,,78,,NA,,173,,NA,,98,,"1,13",,313,,77,,412,,NA,,"13,1",,NA,,1190,,NA,,NA,,60,
EM10126itkt,2870959,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2012,"15,3",,47,,88,,NA,,21,,NA,,84,,NA,,193,,NA,,121,,"2,57",,223,,82,,356,,NA,,12,,NA,,1265,,NA,,NA,,37,
CF10185itkt,2870988,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2012,"17,4",,61,,97,,NA,,20,,NA,,84,,NA,,201,,NA,,96,,"1,57",,217,,82,,391,,NA,,"12,6",,NA,,1570,,NA,,NA,,40,
DI12011itkt,2870938,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"26,4",,141,,NA,,100,,NA,,"28,55",,NA,,68,,NA,,"196,55",,53,,"0,38",,177,,70,,393,,"41,6",,13,,"75,2",,NA,,1410,,"1,76",,NA,
CF10064itkt,2870941,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,2",,91,,91,,NA,,13,,NA,,81,,NA,,185,,NA,,76,,"0,84",,261,,41,,343,,NA,,"14,3",,NA,,1425,,NA,,NA,,45,
AO12006itkt,2870955,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,5",,77,,85,,NA,,12,,NA,,84,,NA,,181,,NA,,83,,"1,08",,199,,"85,5",,362,,NA,,"12,5",,NA,,1360,,NA,,NA,,41,
EM11537itkt,2870934,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,2",,100,,NA,,100,,NA,,"57,3",,NA,,"88,13",,NA,,"245,43",,105,,"1,05",,342,,88,,417,,"40,26",,"12,8",,"78,4",,NA,,1510,,"2,09",,NA,
AO12016itkt,2870977,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2012,"17,4",,61,,88,,NA,,9,,NA,,69,,NA,,166,,NA,,112,,"1,84",,271,,"77,5",,325,,NA,,"12,5",,NA,,1298,,NA,,NA,,"42,5",
CF09117itkt,2870979,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,9",,116,,82,,NA,,4,,NA,,56,,NA,,142,,NA,,119,,"1,03",,474,,66,,350,,NA,,"15,1",,NA,,1208,,NA,,NA,,68,
EM08231itkt,2870972,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,6",,86,,67,,NA,,2,,NA,,21,,NA,,90,,NA,,35,,"0,41",,83,,"39,5",,64,,NA,,12,,NA,,1015,,NA,,NA,,21,
RE10039itkt,2870948,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,8",,88,,85,,NA,,6,,NA,,57,,NA,,148,,NA,,77,,"0,89",,245,,"37,5",,231,,NA,,"14,1",,NA,,1270,,NA,,NA,,"39,5",
RE11035itkt,2870951,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,6",,78,,NA,,100,,NA,,"30,5",,NA,,80,,NA,,"210,5",,130,,"1,66",,374,,68,,388,,"39,62",,"13,3",,"78,8",,NA,,1300,,"2,36",,NA,
RE11059itkt,2870949,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,8",,96,,NA,,100,,NA,,"56,4",,NA,,100,,NA,,"256,4",,95,,"0,98",,303,,75,,401,,"43,48",,"12,2",,"82,4",,NA,,1480,,"2,45",,NA,
RE11091itkt,2870947,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,treated,2012,"27,1",,149,,NA,,100,,NA,,"15,7",,NA,,"80,76",,NA,,"196,46",,53,,"0,36",,248,,13,,338,,"49,12",,"11,7",,"78,6",,NA,,1390,,"1,74",,NA,
RE11094itkt,2870946,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,treated,2012,25,,127,,NA,,100,,NA,,"14,2",,NA,,"91,13",,NA,,"205,33",,51,,"0,4",,220,,9,,337,,"51,44",,"11,7",,"77,9",,NA,,1390,,"1,72",,NA,
RE11095itkt,2870945,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,treated,2012,"25,2",,129,,NA,,100,,NA,,"12,85",,NA,,90,,NA,,"202,85",,53,,"0,41",,228,,19,,301,,"53,88",,"11,5",,"78,3",,NA,,1320,,"1,81",,NA,
RE11096itkt,2870944,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,4",,76,,NA,,100,,NA,,"17,05",,NA,,84,,NA,,"201,05",,100,,"1,3",,297,,56,,328,,"48,73",,"13,1",,"79,1",,NA,,1410,,"2,28",,NA,
RE11098itkt,2870943,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,9",,106,,NA,,100,,NA,,"55,05",,NA,,97,,NA,,"252,05",,92,,"0,87",,348,,70,,314,,"44,48",,13,,"81,1",,NA,,1510,,"2,35",,NA,
Premioitkt,2870933,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,"17,8",,64,,91,,NA,,28,,NA,,77,,NA,,196,,NA,,93,,"1,45",,238,,74,,382,,NA,,"13,2",,NA,,1408,,NA,,NA,,"47,5",
Apacheitkt,2870958,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,25,,127,,88,,NA,,48,,NA,,94,,NA,,230,,NA,,74,,"0,59",,271,,61,,364,,NA,,"13,5",,NA,,1533,,NA,,NA,,50,
Lyrikitkt,2870986,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,6",,70,,88,,NA,,32,,NA,,82,,NA,,202,,NA,,107,,"1,53",,287,,"73,5",,354,,NA,,"11,2",,NA,,1398,,NA,,NA,,"39,5",
Grapeliitkt,2870950,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,7",,96,,85,,NA,,7,,NA,,81,,NA,,173,,NA,,59,,"0,62",,182,,"48,5",,368,,NA,,"13,4",,NA,,1195,,NA,,NA,,31,
CF08027itkt,2870985,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,6",,95,,88,,NA,,12,,NA,,87,,NA,,187,,NA,,83,,"0,88",,265,,"65,5",,333,,NA,,"13,2",,NA,,1353,,NA,,NA,,"48,5",
Granamaxitkt,2870960,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,1",,74,,85,,NA,,9,,NA,,87,,NA,,181,,NA,,92,,"1,24",,235,,79,,315,,NA,,12,,NA,,1295,,NA,,NA,,37,
AO11011itkt,2870936,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"14,4",,42,,97,,NA,,30,,NA,,96,,NA,,223,,NA,,140,,"3,33",,237,,88,,279,,NA,,"12,7",,NA,,1538,,NA,,NA,,46,
Gotikitkt,2870969,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,7",,96,,85,,NA,,13,,NA,,81,,NA,,179,,NA,,78,,"0,82",,244,,79,,361,,NA,,"13,5",,NA,,1365,,NA,,NA,,54,
AO12011itkt,2870976,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,1",,66,,91,,NA,,28,,NA,,86,,NA,,205,,NA,,130,,"1,97",,303,,92,,264,,NA,,13,,NA,,1510,,NA,,NA,,"58,5",
AO12013itkt,2870974,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"11,8",,28,,85,,NA,,6,,NA,,75,,NA,,166,,NA,,144,,"5,14",,182,,87,,345,,NA,,"12,1",,NA,,1280,,NA,,NA,,46,
CF11029itkt,2870957,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2012,"26,2",,139,,NA,,100,,NA,,"40,1",,NA,,100,,NA,,"240,1",,62,,"0,45",,225,,65,,354,,"46,99",,"11,7",,"78,6",,NA,,1570,,"2,58",,NA,
CF11051itkt,2870937,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,5",,85,,NA,,97,,NA,,"33,65",,NA,,"86,63",,NA,,"217,28",,106,,"1,25",,328,,86,,383,,"51,87",,"10,6",,"81,8",,NA,,1380,,"2,7",,NA,
CF11177itkt,2870983,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,1",,82,,NA,,100,,NA,,"31,25",,NA,,"77,75",,NA,,209,,117,,"1,42",,373,,71,,400,,"47,53",,"12,1",,"78,6",,NA,,1300,,"2,72",,NA,
CF11215itkt,2870930,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,2",,109,,NA,,100,,NA,,"39,5",,NA,,"89,63",,NA,,"229,13",,77,,"0,71",,306,,82,,317,,"39,81",,"12,2",,"79,7",,NA,,1550,,"1,96",,NA,
CF11291itkt,2870975,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,6",,86,,NA,,100,,NA,,29,,NA,,80,,NA,,209,,98,,"1,13",,305,,75,,195,,"35,31",,"12,4",,"77,4",,NA,,1250,,"2,22",,NA,
DI11012itkt,2870981,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2012,"13,7",,38,,82,,NA,,8,,NA,,69,,NA,,159,,NA,,117,,"3,08",,184,,"74,5",,364,,NA,,"11,4",,NA,,1215,,NA,,NA,,"39,5",
DI11013itkt,2870980,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,1",,53,,82,,NA,,11,,NA,,85,,NA,,178,,NA,,108,,"2,08",,217,,81,,383,,NA,,"11,1",,NA,,1340,,NA,,NA,,"36,5",
DI12005itkt,2870987,BTH_Le_Moulon_2012_TECH,BTH_Le_Moulon_2012_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,1",,99,,NA,,100,,NA,,"28,7",,NA,,"95,5",,NA,,"224,2",,50,,"0,5",,162,,31,,343,,54,,"10,6",,"80,9",,NA,,1240,,"2,19",,NA,
