observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
1,2873132,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"82,22",,,
1,2873094,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,8",,"99,81",,,
1,2873184,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"93,57",,,
2,2873187,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,6",,"100,99",,,
1,2873186,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,6",,"101,95",,,
2,2873185,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,87,,8,
1,2873182,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"9,1",,"100,2",,,
2,2873183,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,REPLICATION,2,,,,,,REPLICATION:2,treated,2013,"10,1",,"97,84",,,
2,2873181,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"73,74",,8,
1,2873180,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"85,59",,,
2,2873137,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2013,,,"81,71",,"3,5",
1,2873138,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,REPLICATION,1,,,,,,REPLICATION:1,treated,2013,"10,8",,"90,58",,,
1,2873136,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2013,,,"84,72",,,
