observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI12011itkt,2875791,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,"55,5",,147,,"10,2",,"76,5",,"104,5",,,,"94,2",,,,,
EM11441itkfi,2875741,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,"48,7",,148,,"10,5",,"77,7",,"104,1",,1,,"76,7",,1,,,
RE11087itkfi,2875777,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,"52,6",,151,,"10,6",,"79,2",,"91,8",,1,,"67,6",,1,,,
Altigoitkt,2875761,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"59,7",,142,,"9,8",,"77,5",,"98,6",,,,"88,9",,,,,
DI12011itkfi,2875789,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,"53,2",,147,,"10,6",,"76,2",,"101,9",,1,,"75,1",,1,,,
DI12011itknt,2875790,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,,,148,,,,"75,7",,"111,7",,"1,5",,"94,5",,1,,2,
EM11441itkt,2875743,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"49,9",,148,,"9,4",,"77,5",,"105,2",,,,"94,9",,,,,
EM11537itkfi,2875690,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,"48,3",,154,,"10,8",,"80,5",,"98,8",,1,,"72,8",,1,,,
CF11029itkt,2875746,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,95,,"54,3",,154,,"9,1",,"78,2",,106,,,,"95,6",,,,,
EM11537itkt,2875692,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,"53,2",,153,,"9,2",,79,,"95,5",,,,"86,1",,,,,
EM11537itknt,2875691,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,,,152,,,,"79,5",,"99,8",,1,,"84,5",,1,,6,
AO13010itkt,2875767,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"54,2",,150,,"10,5",,80,,"96,5",,,,87,,,,,
RE11087itkt,2875779,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,"52,6",,150,,"10,4",,"79,2",,"96,5",,,,87,,,,,
CF11029itkfi,2875744,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,"43,1",,154,,"10,4",,"74,2",,"88,1",,1,,"64,9",,8,,,
EM11366itkfi,2875783,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,"47,5",,149,,"10,8",,"76,7",,"90,3",,1,,"66,5",,1,,,
DI12004itkfi,2875732,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,45,,152,,"10,8",,79,,"108,2",,1,,"79,7",,1,,,
Koreliitkt,2875740,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,"52,5",,152,,"10,9",,"81,3",,"76,5",,,,69,,,,,
Koreliitkfi,2875738,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,"50,4",,152,,"11,8",,"81,9",,96,,1,,"70,7",,1,,,
Altigoitkfi,2875759,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,"54,4",,142,,"10,3",,"77,8",,"104,8",,1,,"77,2",,4,,,
CF11029itknt,2875745,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,153,,,,72,,"76,9",,1,,"65,1",,"8,5",,1,
Koreliitknt,2875739,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,98,,,,150,,,,82,,"93,7",,1,,"79,3",,1,,"2,5",
Soissonsitkt,2875794,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,44,,142,,"10,2",,"79,6",,"90,4",,,,"81,5",,,,,
CF11051itknt,2875697,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,100,,,,146,,,,"80,4",,"98,9",,"2,5",,"83,6",,"3,5",,"3,5",
RE11113itkt,2875776,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2013,100,,"48,9",,152,,"9,1",,"78,4",,"100,9",,,,91,,,,,
RE11113itkfi,2875774,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,"49,4",,153,,"10,3",,"80,1",,"118,8",,1,,"87,5",,1,,,
Barokitkt,2875755,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"51,3",,150,,"10,1",,"78,8",,"101,6",,,,"91,7",,,,,
EM11579itkfi,2875798,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,51,,149,,"10,8",,"78,4",,"98,7",,1,,"72,7",,1,,,
AO13010itkfi,2875765,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,"52,8",,151,,"11,8",,"80,9",,"101,6",,1,,"74,8",,1,,,
CF11051itkt,2875698,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,"56,3",,152,,"10,2",,"80,4",,"89,1",,,,"80,3",,,,,
Barokitknt,2875754,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,,,149,,,,"78,8",,"105,3",,"1,5",,"89,1",,1,,2,
CF11051itkfi,2875696,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,"52,5",,151,,"11,3",,"80,6",,"105,4",,1,,"77,6",,1,,,
EM11579itkt,2875800,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,"53,5",,150,,"9,8",,"78,2",,"97,1",,,,"87,5",,,,,
Barokitkfi,2875753,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,"50,8",,150,,"10,6",,"79,1",,"106,8",,1,,"78,6",,1,,,
