observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE12030itkfi,2876510,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61337,https://doi.org/10.15454/PJFLXT,RE12030,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,156,,"11,3",,"77,1",,"101,7",,"81,2",,3,
RE12001itkfi,2876472,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,154,,"10,3",,"72,8",,"115,4",,"92,1",,3,
RE12018itkt,2876499,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,49597,https://doi.org/10.15454/0WGKSR,RE12018,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,154,,"13,5",,"73,3",,"93,2",,"96,1",,,
RE12030itkt,2876511,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61337,https://doi.org/10.15454/PJFLXT,RE12030,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,157,,"12,8",,"77,2",,"93,8",,"96,6",,,
AO13002itkfi,2876462,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61273,https://doi.org/10.15454/2QGKAK,AO13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,81,,154,,"9,5",,"71,5",,"101,5",,81,,6,
AO13006itkfi,2876466,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61943,https://doi.org/10.15454/95ZYU4,AO13006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,75,,154,,"11,3",,"71,3",,"91,6",,"73,1",,"8,5",
AO13002itkt,2876463,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61273,https://doi.org/10.15454/2QGKAK,AO13002,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"10,5",,"76,6",,"98,2",,"101,2",,,
AO13006itkt,2876467,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61943,https://doi.org/10.15454/95ZYU4,AO13006,VIRTUAL_TRIAL,,,,,,,,treated,2013,76,,154,,"12,1",,"76,8",,"87,9",,"90,6",,,
Bermudeitkfi,2876470,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,"10,6",,"70,4",,"101,5",,81,,"7,5",
CF12053itkfi,2876518,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,83,,156,,"11,2",,"71,9",,"118,6",,"94,6",,"3,2",
RE12040itkfi,2876456,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,154,,11,,"74,2",,117,,"93,4",,"3,8",
RE12005itkt,2876477,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61290,https://doi.org/10.15454/Q9AAOE,RE12005,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,155,,"11,3",,"77,3",,"104,2",,"107,4",,,
RE12005itkfi,2876476,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61290,https://doi.org/10.15454/Q9AAOE,RE12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,93,,155,,"10,8",,"74,6",,"121,4",,"96,9",,"2,8",
AO13014itkfi,2876504,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60818,https://doi.org/10.15454/CYMV5L,AO13014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,156,,"10,2",,"71,7",,113,,"90,2",,"3,2",
CF12108itkt,2876465,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,154,,"11,8",,"78,7",,"101,2",,"104,3",,,
RE12040itkt,2876457,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,91,,156,,"12,2",,"74,3",,103,,"106,2",,,
CF12108itkfi,2876464,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,"10,4",,"77,7",,"111,6",,"89,1",,"2,8",
AO13014itkt,2876505,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,60818,https://doi.org/10.15454/CYMV5L,AO13014,VIRTUAL_TRIAL,,,,,,,,treated,2013,91,,158,,"11,3",,"68,3",,"100,8",,"103,9",,,
RE12039itkt,2876507,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,treated,2013,87,,154,,"12,6",,"77,2",,103,,"106,2",,,
