observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO13026itkt,2877256,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,155,,"83,8",,"105,7",,"77,3",
RE12050itkt,2877268,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,treated,2013,93,,156,,"82,4",,"96,3",,"70,4",
CF12273itkt,2877276,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,149,,"81,4",,"100,6",,"73,5",
AO13017itkt,2877279,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,60866,https://doi.org/10.15454/85C3HD,AO13017,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,154,,"82,7",,"104,1",,"76,1",
RE12053itkt,2877271,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,156,,77,,"86,6",,"63,3",
RE12057itkt,2877275,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,157,,"78,6",,84,,"61,4",
RE12051itkt,2877273,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"80,5",,"95,4",,"69,7",
AO13023itkt,2877259,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,60976,https://doi.org/10.15454/MDP0B7,AO13023,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,151,,"83,1",,"103,2",,"75,5",
CF12181itkt,2877262,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,treated,2013,89,,158,,"83,7",,"101,4",,"74,2",
Apacheitkt,2877267,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,152,,"81,5",,"96,4",,"70,5",
RE12062itkt,2877248,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61498,https://doi.org/10.15454/PGNWR0,RE12062,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,155,,"75,8",,"84,1",,"61,5",
AO13016itkt,2877278,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,treated,2013,87,,157,,"82,4",,101,,"73,9",
RE12056itkt,2877274,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61466,https://doi.org/10.15454/BR3V9R,RE12056,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,157,,"73,6",,"80,8",,"59,1",
AO13020itkt,2877258,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,60930,https://doi.org/10.15454/3Q1S0Q,AO13020,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,154,,"83,1",,"86,6",,"63,3",
RE12064itkt,2877249,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61513,https://doi.org/10.15454/PJQ3Q5,RE12064,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,156,,"81,5",,"93,2",,"68,2",
Lyrikitkt,2877285,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,155,,80,,"102,8",,"75,2",
AO13025itkt,2877254,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,156,,"81,4",,"78,4",,"57,3",
CF12202itkt,2877282,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,151,,"80,8",,"105,3",,77,
CF12176itkt,2877269,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61510,https://doi.org/10.15454/KWBER9,CF12176,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,152,,"80,7",,"99,5",,"72,8",
AO13021itkt,2877257,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,60946,https://doi.org/10.15454/N0K6T3,AO13021,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,151,,"84,9",,"95,2",,"69,6",
CF12265itkt,2877252,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61601,https://doi.org/10.15454/RDBYFX,CF12265,VIRTUAL_TRIAL,,,,,,,,treated,2013,96,,152,,"80,2",,"93,4",,"68,3",
Altigoitkt,2877272,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,148,,"79,5",,97,,71,
Pakitoitkt,2877264,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,75,,153,,"81,8",,"106,2",,"77,7",
AO13019itkt,2877281,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,60913,https://doi.org/10.15454/GQZLI1,AO13019,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,151,,"82,9",,"87,5",,64,
CF12271itkt,2877277,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61616,https://doi.org/10.15454/L4H0GP,CF12271,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,156,,"80,4",,"89,8",,"65,6",
DI13003itkt,2877283,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,157,,"80,8",,"99,3",,"72,6",
EM12147itkt,2877270,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61939,https://doi.org/10.15454/UMYYUP,EM12147,VIRTUAL_TRIAL,,,,,,,,treated,2013,74,,151,,78,,90,,"65,8",
EM12205itkt,2877250,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,152,,"80,4",,"95,7",,70,
DI13004itkt,2877261,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,treated,2013,83,,158,,"80,6",,"104,5",,"76,4",
AO13024itkt,2877255,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,60990,https://doi.org/10.15454/SCWN6J,AO13024,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,157,,"83,3",,"97,8",,"71,5",
EM12231itkt,2877266,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,154,,82,,"99,7",,"72,9",
CF12232itkt,2877284,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,61583,https://doi.org/10.15454/Y57CZL,CF12232,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,152,,"79,5",,"101,5",,"74,2",
Bermudeitkt,2877253,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,155,,"82,3",,"100,4",,"73,4",
CF12200itkt,2877263,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,treated,2013,76,,156,,"79,5",,"94,6",,"69,2",
AO13018itkt,2877280,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,60885,https://doi.org/10.15454/CK80DP,AO13018,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,151,,"82,8",,"97,9",,"71,6",
RE12042itkt,2877251,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,treated,2013,93,,154,,"80,6",,"93,9",,"68,7",
EM12234itkt,2877265,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,154,,"79,5",,"90,7",,"66,3",
AO13022itkt,2877260,BTH_Dijon_2013_SetB2,BTH_Dijon_2013_SetB2,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,treated,2013,87,,154,,"82,7",,"114,4",,"83,6",
